Txn_ID,Txn_Date,SKU,Warehouse_ID,Txn_Type,Quantity,Unit_Cost
INV00032,2026-07-23,SKU00039,WH-MUM,Outbound,53,9834.23
INV00033,2026-04-18,SKU00340,WH-KOL,Outbound,6,1389.69
INV00034,2026-03-24,SKU00009,WH-BLR,Outbound,37,1444.57
INV00035,2026-05-07,SKU00355,WH-BLR,Inbound,197,8423.07
INV00036,2026-02-19,SKU00253,WH-MUM,Inbound,325,11334.19
INV00037,2026-06-28,SKU00160,WH-KOL,Inbound,87,11066.49
INV00038,2026-05-12,SKU00227,WH-MUM,Inbound,677,155.78
INV00039,2026-02-09,SKU00105,WH-BLR,Outbound,52,205.15
INV00040,2026-05-20,SKU00220,WH-MUM,Outbound,3,4706.79
INV00041,2026-06-05,SKU00446,WH-MUM,Inbound,595,1215.99
INV00042,2026-06-13,SKU00168,WH-MUM,Inbound,613,867.2
INV00043,2026-02-16,SKU00491,WH-MUM,Inbound,635,3122.09
INV00044,2026-02-23,SKU00366,WH-BLR,Outbound,30,2401.22
INV00045,2026-07-30,SKU00416,WH-BLR,Outbound,32,7491.99
INV00046,2026-04-25,SKU00418,WH-MUM,Outbound,52,1493.1
INV00047,2026-05-01,SKU00482,WH-MUM,Outbound,36,1836.71
INV00048,2026-02-08,SKU00037,WH-MUM,Inbound,775,2029.84
INV00049,2026-05-13,SKU00094,WH-DEL,Inbound,426,575.1
INV00050,2026-05-28,SKU00484,WH-BLR,Outbound,4,1498.14
INV00051,2026-05-25,SKU00398,WH-DEL,Inbound,143,1619.31
INV00052,2026-07-27,SKU00204,WH-KOL,Outbound,40,820.72
INV00053,2026-07-16,SKU00067,WH-BLR,Inbound,692,951.37
INV00054,2026-07-25,SKU00083,WH-KOL,Outbound,24,6849.78
INV00055,2026-03-02,SKU00115,WH-BLR,Outbound,15,8987.46
INV00056,2026-04-03,SKU00163,WH-MUM,Outbound,10,1911.13
INV00057,2026-05-01,SKU00043,WH-MUM,Outbound,24,1179.69
INV00058,2026-05-01,SKU00460,WH-KOL,Inbound,382,1735.11
INV00059,2026-04-17,SKU00430,WH-DEL,Outbound,28,11221.42
INV00060,2026-05-09,SKU00445,WH-KOL,Outbound,24,126.16
INV00061,2026-07-06,SKU00015,WH-DEL,Outbound,18,7048.89
INV00062,2026-02-20,SKU00219,WH-KOL,Inbound,333,802.72
INV00063,2026-04-23,SKU00049,WH-BLR,Inbound,241,366.94
INV00064,2026-06-13,SKU00307,WH-MUM,Outbound,15,1107.62
INV00065,2026-05-11,SKU00175,WH-MUM,Outbound,59,9741.4
INV00066,2026-04-03,SKU00046,WH-BLR,Inbound,688,1426.46
INV00067,2026-05-16,SKU00472,WH-MUM,Inbound,582,11162.84
INV00068,2026-05-09,SKU00175,WH-MUM,Outbound,20,9741.4
INV00069,2026-03-05,SKU00358,WH-MUM,Inbound,724,408.77
INV00070,2026-04-09,SKU00413,WH-MUM,Outbound,54,5304.73
INV00071,2026-07-15,SKU00119,WH-BLR,Outbound,29,639.85
INV00072,2026-04-19,SKU00246,WH-KOL,Inbound,567,2079.08
INV00073,2026-04-24,SKU00162,WH-BLR,Outbound,27,1919.05
INV00074,2026-06-15,SKU00029,WH-MUM,Outbound,29,10530.39
INV00075,2026-04-26,SKU00133,WH-DEL,Outbound,1,1838.05
INV00076,2026-05-01,SKU00132,WH-KOL,Outbound,12,1623.52
INV00077,2026-07-16,SKU00341,WH-BLR,Outbound,8,166.31
INV00078,2026-05-18,SKU00487,WH-KOL,Inbound,309,2169.7
INV00079,2026-03-05,SKU00484,WH-BLR,Inbound,55,1498.14
INV00080,2026-02-09,SKU00288,WH-BLR,Outbound,12,2081.82
INV00081,2026-04-22,SKU00156,WH-MUM,Outbound,51,7355.2
INV00082,2026-05-06,SKU00127,WH-KOL,Outbound,1,479.88
INV00083,2026-03-25,SKU00065,WH-MUM,Outbound,29,2082.57
INV00084,2026-07-27,SKU00323,WH-BLR,Outbound,18,499.13
INV00085,2026-07-11,SKU00350,WH-BLR,Outbound,56,2294.26
INV00086,2026-04-08,SKU00301,WH-MUM,Outbound,21,1418.75
INV00087,2026-04-07,SKU00239,WH-BLR,Outbound,9,631.96
INV00088,2026-05-06,SKU00124,WH-BLR,Outbound,28,9532.62
INV00089,2026-06-09,SKU00348,WH-BLR,Outbound,1,9937.94
INV00090,2026-03-04,SKU00440,WH-BLR,Inbound,333,905.06
INV00091,2026-04-10,SKU00427,WH-MUM,Outbound,33,166.09
INV00092,2026-03-06,SKU00182,WH-DEL,Outbound,59,10232.53
INV00093,2026-07-05,SKU00379,WH-MUM,Inbound,744,4206.88
INV00094,2026-07-08,SKU00453,WH-BLR,Outbound,33,1075.54
INV00095,2026-05-21,SKU00265,WH-DEL,Outbound,16,6237.57
INV00096,2026-04-25,SKU00069,WH-KOL,Inbound,512,4763.58
INV00097,2026-02-05,SKU00458,WH-MUM,Inbound,521,4799.28
INV00098,2026-03-10,SKU00202,WH-BLR,Outbound,35,3409.91
INV00099,2026-05-07,SKU00133,WH-DEL,Outbound,12,1838.05
INV00100,2026-05-07,SKU00347,WH-DEL,Outbound,48,757.27
INV00101,2026-02-23,SKU00343,WH-MUM,Outbound,7,2347.38
INV00102,2026-06-17,SKU00160,WH-KOL,Inbound,331,11066.49
INV00103,2026-04-21,SKU00221,WH-MUM,Inbound,384,6302.0
INV00104,2026-05-24,SKU00251,WH-MUM,Inbound,648,8829.48
INV00105,2026-03-23,SKU00205,WH-DEL,Inbound,395,9692.27
INV00106,2026-05-07,SKU00220,WH-MUM,Outbound,59,4706.79
INV00107,2026-07-26,SKU00300,WH-KOL,Outbound,54,2270.99
INV00108,2026-05-31,SKU00169,WH-BLR,Outbound,29,9131.35
INV00109,2026-07-10,SKU00072,WH-MUM,Outbound,43,6769.78
INV00110,2026-06-08,SKU00301,WH-MUM,Inbound,430,1418.75
INV00111,2026-03-07,SKU00048,WH-KOL,Inbound,338,315.62
INV00112,2026-05-14,SKU00261,WH-DEL,Inbound,386,7060.4
INV00113,2026-06-17,SKU00179,WH-MUM,Inbound,73,1072.27
INV00114,2026-03-28,SKU00151,WH-BLR,Outbound,16,929.95
INV00115,2026-02-26,SKU00406,WH-KOL,Outbound,37,10375.09
INV00116,2026-06-21,SKU00478,WH-KOL,Outbound,10,2079.08
INV00117,2026-05-27,SKU00286,WH-KOL,Inbound,453,11666.17
INV00118,2026-05-31,SKU00146,WH-BLR,Inbound,157,11346.17
INV00119,2026-04-17,SKU00459,WH-DEL,Inbound,685,10412.76
INV00120,2026-02-16,SKU00416,WH-BLR,Outbound,24,7491.99
INV00121,2026-05-02,SKU00190,WH-KOL,Outbound,42,1523.36
INV00122,2026-05-01,SKU00380,WH-BLR,Inbound,194,380.87
INV00123,2026-07-10,SKU00178,WH-DEL,Inbound,565,10878.35
INV00124,2026-02-22,SKU00395,WH-BLR,Inbound,664,1053.28
INV00125,2026-04-22,SKU00337,WH-BLR,Outbound,59,2248.76
INV00126,2026-05-04,SKU00481,WH-MUM,Outbound,45,1046.17
INV00127,2026-03-09,SKU00400,WH-BLR,Outbound,9,8201.96
INV00128,2026-06-15,SKU00214,WH-BLR,Outbound,20,8639.3
INV00129,2026-05-04,SKU00099,WH-BLR,Outbound,7,832.36
INV00130,2026-03-11,SKU00318,WH-DEL,Outbound,29,8028.65
INV00131,2026-05-18,SKU00130,WH-BLR,Outbound,40,2485.49
INV00132,2026-07-15,SKU00354,WH-BLR,Outbound,57,8745.97
INV00133,2026-03-12,SKU00099,WH-BLR,Outbound,37,832.36
INV00134,2026-05-24,SKU00142,WH-MUM,Outbound,50,912.52
INV00135,2026-02-26,SKU00154,WH-KOL,Inbound,629,4016.0
INV00136,2026-05-23,SKU00380,WH-BLR,Inbound,422,380.87
INV00137,2026-06-12,SKU00065,WH-MUM,Outbound,34,2082.57
INV00138,2026-06-13,SKU00430,WH-DEL,Outbound,10,11221.42
INV00139,2026-03-28,SKU00474,WH-KOL,Inbound,708,7851.39
INV00140,2026-07-01,SKU00149,WH-BLR,Inbound,639,543.76
INV00141,2026-05-29,SKU00486,WH-MUM,Outbound,11,837.97
INV00142,2026-07-04,SKU00008,WH-BLR,Outbound,54,2301.12
INV00143,2026-03-28,SKU00373,WH-BLR,Outbound,37,812.5
INV00144,2026-05-12,SKU00245,WH-BLR,Outbound,25,1235.46
INV00145,2026-03-11,SKU00345,WH-KOL,Outbound,7,5493.81
INV00146,2026-06-25,SKU00449,WH-BLR,Outbound,56,730.36
INV00147,2026-02-20,SKU00098,WH-KOL,Inbound,310,10029.72
INV00148,2026-05-14,SKU00216,WH-BLR,Inbound,612,920.15
INV00149,2026-07-20,SKU00078,WH-KOL,Outbound,31,1533.87
INV00150,2026-03-20,SKU00480,WH-BLR,Inbound,239,2279.72
INV00151,2026-06-08,SKU00042,WH-DEL,Inbound,567,366.12
INV00152,2026-02-18,SKU00109,WH-KOL,Inbound,391,2319.81
INV00153,2026-02-18,SKU00048,WH-KOL,Outbound,18,315.62
INV00154,2026-04-15,SKU00351,WH-DEL,Inbound,91,1742.09
INV00155,2026-02-17,SKU00299,WH-KOL,Outbound,48,5950.16
INV00156,2026-02-23,SKU00011,WH-KOL,Inbound,502,4389.51
INV00157,2026-02-28,SKU00070,WH-MUM,Inbound,140,758.25
INV00158,2026-03-12,SKU00034,WH-BLR,Inbound,62,1790.1
INV00159,2026-04-30,SKU00455,WH-DEL,Inbound,245,1331.76
INV00160,2026-02-22,SKU00078,WH-KOL,Outbound,50,1533.87
INV00161,2026-04-23,SKU00195,WH-BLR,Inbound,100,2145.91
INV00162,2026-05-03,SKU00249,WH-MUM,Inbound,606,1814.53
INV00163,2026-06-05,SKU00016,WH-BLR,Outbound,32,173.77
INV00164,2026-05-16,SKU00400,WH-BLR,Inbound,295,8201.96
INV00165,2026-05-26,SKU00450,WH-MUM,Inbound,330,8498.43
INV00166,2026-03-05,SKU00364,WH-MUM,Inbound,354,298.52
INV00167,2026-06-28,SKU00446,WH-MUM,Outbound,53,1215.99
INV00168,2026-03-05,SKU00291,WH-DEL,Inbound,397,9410.52
INV00169,2026-04-01,SKU00079,WH-BLR,Outbound,45,4863.08
INV00170,2026-03-05,SKU00318,WH-DEL,Inbound,632,8028.65
INV00171,2026-07-07,SKU00398,WH-DEL,Outbound,7,1619.31
INV00172,2026-05-29,SKU00391,WH-MUM,Outbound,29,874.84
INV00173,2026-05-26,SKU00103,WH-KOL,Inbound,395,1142.88
INV00174,2026-03-18,SKU00103,WH-KOL,Outbound,11,1142.88
INV00175,2026-03-13,SKU00122,WH-BLR,Outbound,31,10686.17
INV00176,2026-03-19,SKU00199,WH-MUM,Inbound,568,1638.56
INV00177,2026-07-18,SKU00148,WH-BLR,Outbound,46,8543.4
INV00178,2026-05-04,SKU00032,WH-MUM,Inbound,440,4905.87
INV00179,2026-06-30,SKU00340,WH-KOL,Inbound,65,1389.69
INV00180,2026-06-21,SKU00312,WH-MUM,Outbound,32,1563.27
INV00181,2026-02-13,SKU00152,WH-MUM,Inbound,238,1595.73
INV00182,2026-06-01,SKU00096,WH-MUM,Outbound,21,5218.43
INV00183,2026-05-28,SKU00067,WH-BLR,Outbound,41,951.37
INV00184,2026-03-04,SKU00234,WH-MUM,Outbound,24,10361.57
INV00185,2026-05-03,SKU00114,WH-KOL,Inbound,597,8859.95
INV00186,2026-04-11,SKU00404,WH-DEL,Outbound,34,609.33
INV00187,2026-07-14,SKU00012,WH-BLR,Outbound,36,828.21
INV00188,2026-07-09,SKU00223,WH-KOL,Inbound,105,2179.94
INV00189,2026-04-10,SKU00021,WH-BLR,Outbound,33,1201.01
INV00190,2026-02-23,SKU00497,WH-KOL,Outbound,39,1676.27
INV00191,2026-03-31,SKU00493,WH-BLR,Inbound,65,558.06
INV00192,2026-06-26,SKU00478,WH-KOL,Outbound,8,2079.08
INV00193,2026-02-02,SKU00175,WH-MUM,Outbound,33,9741.4
INV00194,2026-03-21,SKU00256,WH-MUM,Inbound,529,483.82
INV00195,2026-03-18,SKU00357,WH-MUM,Inbound,263,825.85
INV00196,2026-05-27,SKU00003,WH-DEL,Outbound,12,1314.42
INV00197,2026-06-08,SKU00375,WH-BLR,Inbound,438,2972.67
INV00198,2026-03-02,SKU00018,WH-BLR,Inbound,299,8731.17
INV00199,2026-04-06,SKU00247,WH-BLR,Outbound,44,7998.99
INV00200,2026-05-22,SKU00093,WH-DEL,Inbound,340,450.31
INV00201,2026-07-30,SKU00431,WH-DEL,Outbound,35,9608.31
INV00202,2026-06-05,SKU00277,WH-MUM,Outbound,19,9601.1
INV00203,2026-07-23,SKU00309,WH-MUM,Inbound,208,1171.45
INV00204,2026-07-20,SKU00294,WH-BLR,Outbound,43,1140.9
INV00205,2026-06-10,SKU00453,WH-BLR,Inbound,298,1075.54
INV00206,2026-02-20,SKU00197,WH-MUM,Outbound,22,4238.42
INV00207,2026-05-03,SKU00300,WH-KOL,Inbound,300,2270.99
INV00208,2026-07-07,SKU00148,WH-BLR,Outbound,44,8543.4
INV00209,2026-04-19,SKU00034,WH-BLR,Inbound,377,1790.1
INV00210,2026-05-18,SKU00116,WH-MUM,Inbound,486,3552.65
INV00211,2026-04-20,SKU00092,WH-KOL,Outbound,53,3470.01
INV00212,2026-02-14,SKU00007,WH-MUM,Outbound,26,2329.44
INV00213,2026-06-15,SKU00194,WH-MUM,Outbound,31,1280.91
INV00214,2026-07-06,SKU00310,WH-BLR,Outbound,40,6386.15
INV00215,2026-04-07,SKU00452,WH-MUM,Inbound,778,323.23
INV00216,2026-07-30,SKU00019,WH-KOL,Outbound,28,9568.66
INV00217,2026-07-28,SKU00449,WH-BLR,Inbound,723,730.36
INV00218,2026-04-09,SKU00120,WH-KOL,Outbound,15,3821.05
INV00219,2026-05-25,SKU00197,WH-MUM,Inbound,480,4238.42
INV00220,2026-07-13,SKU00274,WH-KOL,Outbound,30,6759.66
INV00221,2026-06-09,SKU00113,WH-KOL,Inbound,376,1673.2
INV00222,2026-03-29,SKU00109,WH-KOL,Inbound,559,2319.81
INV00223,2026-07-11,SKU00162,WH-BLR,Outbound,47,1919.05
INV00224,2026-04-17,SKU00023,WH-KOL,Inbound,415,2516.42
INV00225,2026-07-06,SKU00258,WH-KOL,Inbound,597,2854.17
INV00226,2026-06-04,SKU00175,WH-MUM,Inbound,543,9741.4
INV00227,2026-05-25,SKU00158,WH-MUM,Outbound,13,9970.62
INV00228,2026-05-11,SKU00426,WH-MUM,Outbound,7,145.33
INV00229,2026-03-29,SKU00035,WH-BLR,Inbound,353,445.07
INV00230,2026-06-09,SKU00495,WH-BLR,Outbound,55,772.9
INV00231,2026-06-12,SKU00456,WH-BLR,Outbound,55,401.21
INV00232,2026-03-10,SKU00244,WH-DEL,Outbound,52,629.92
INV00233,2026-04-30,SKU00331,WH-KOL,Inbound,71,1764.17
INV00234,2026-07-13,SKU00239,WH-BLR,Outbound,39,631.96
INV00235,2026-02-11,SKU00419,WH-KOL,Outbound,12,440.1
INV00236,2026-05-02,SKU00052,WH-DEL,Inbound,308,1137.66
INV00237,2026-05-06,SKU00068,WH-MUM,Inbound,214,2170.13
INV00238,2026-05-17,SKU00315,WH-BLR,Outbound,49,1700.11
INV00239,2026-03-27,SKU00313,WH-KOL,Outbound,36,1079.2
INV00240,2026-02-12,SKU00470,WH-MUM,Outbound,22,882.17
INV00241,2026-02-25,SKU00230,WH-MUM,Outbound,12,1265.91
INV00242,2026-05-19,SKU00280,WH-KOL,Outbound,58,6931.86
INV00243,2026-06-12,SKU00381,WH-MUM,Outbound,12,1089.62
INV00244,2026-05-19,SKU00204,WH-KOL,Outbound,8,820.72
INV00245,2026-02-04,SKU00433,WH-MUM,Outbound,30,5339.29
INV00246,2026-03-30,SKU00099,WH-BLR,Inbound,514,832.36
INV00247,2026-04-16,SKU00063,WH-MUM,Outbound,23,10724.93
INV00248,2026-06-17,SKU00165,WH-BLR,Outbound,42,6359.14
INV00249,2026-02-18,SKU00319,WH-MUM,Outbound,16,595.08
INV00250,2026-06-13,SKU00211,WH-MUM,Inbound,436,466.45
INV00251,2026-03-14,SKU00230,WH-MUM,Inbound,588,1265.91
INV00252,2026-02-27,SKU00022,WH-MUM,Outbound,9,9412.88
INV00253,2026-02-08,SKU00236,WH-BLR,Inbound,555,2085.22
INV00254,2026-06-20,SKU00489,WH-BLR,Inbound,682,1585.7
INV00255,2026-05-18,SKU00202,WH-BLR,Outbound,32,3409.91
INV00256,2026-05-15,SKU00112,WH-DEL,Outbound,30,1638.05
INV00257,2026-06-21,SKU00019,WH-KOL,Outbound,9,9568.66
INV00258,2026-03-23,SKU00487,WH-KOL,Outbound,13,2169.7
INV00259,2026-03-22,SKU00152,WH-MUM,Outbound,53,1595.73
INV00260,2026-05-10,SKU00091,WH-DEL,Inbound,297,7317.96
INV00261,2026-05-05,SKU00431,WH-DEL,Inbound,777,9608.31
INV00262,2026-05-28,SKU00010,WH-MUM,Outbound,22,1943.7
INV00263,2026-03-19,SKU00335,WH-MUM,Inbound,322,1967.95
INV00264,2026-03-05,SKU00156,WH-MUM,Inbound,207,7355.2
INV00265,2026-06-02,SKU00405,WH-MUM,Outbound,9,601.86
INV00266,2026-06-19,SKU00185,WH-BLR,Inbound,283,7837.47
INV00267,2026-05-27,SKU00212,WH-KOL,Outbound,40,8674.8
INV00268,2026-04-22,SKU00153,WH-BLR,Inbound,113,1195.75
INV00269,2026-05-10,SKU00440,WH-BLR,Outbound,3,905.06
INV00270,2026-03-13,SKU00447,WH-DEL,Inbound,375,556.11
INV00271,2026-02-26,SKU00330,WH-BLR,Outbound,2,849.1
INV00272,2026-05-06,SKU00396,WH-BLR,Outbound,3,5350.41
INV00273,2026-02-27,SKU00444,WH-DEL,Inbound,84,5179.54
INV00274,2026-07-14,SKU00066,WH-MUM,Inbound,744,4782.22
INV00275,2026-04-07,SKU00235,WH-DEL,Outbound,36,6615.42
INV00276,2026-04-09,SKU00289,WH-DEL,Outbound,54,781.96
INV00277,2026-06-18,SKU00342,WH-BLR,Outbound,2,2400.48
INV00278,2026-03-30,SKU00394,WH-BLR,Inbound,348,1568.3
INV00279,2026-03-25,SKU00096,WH-MUM,Inbound,568,5218.43
INV00280,2026-03-04,SKU00013,WH-MUM,Outbound,12,1784.82
INV00281,2026-05-26,SKU00182,WH-DEL,Inbound,81,10232.53
INV00282,2026-04-13,SKU00242,WH-MUM,Outbound,59,1895.03
INV00283,2026-07-24,SKU00076,WH-MUM,Outbound,34,2157.69
INV00284,2026-05-05,SKU00426,WH-MUM,Inbound,472,145.33
INV00285,2026-07-18,SKU00101,WH-KOL,Outbound,23,1999.68
INV00286,2026-03-10,SKU00066,WH-MUM,Inbound,668,4782.22
INV00287,2026-03-31,SKU00204,WH-KOL,Inbound,356,820.72
INV00288,2026-04-22,SKU00110,WH-DEL,Inbound,317,5876.46
INV00289,2026-04-05,SKU00202,WH-BLR,Outbound,3,3409.91
INV00290,2026-03-28,SKU00226,WH-BLR,Outbound,31,11667.08
INV00291,2026-07-26,SKU00426,WH-MUM,Outbound,34,145.33
INV00292,2026-05-22,SKU00062,WH-BLR,Outbound,26,9998.87
INV00293,2026-05-14,SKU00239,WH-BLR,Inbound,386,631.96
INV00294,2026-06-18,SKU00039,WH-MUM,Outbound,27,9834.23
INV00295,2026-05-17,SKU00071,WH-BLR,Outbound,9,171.17
INV00296,2026-05-16,SKU00062,WH-BLR,Outbound,13,9998.87
INV00297,2026-04-22,SKU00479,WH-MUM,Outbound,14,8467.6
INV00298,2026-02-18,SKU00029,WH-MUM,Inbound,377,10530.39
INV00299,2026-02-19,SKU00149,WH-BLR,Outbound,57,543.76
INV00300,2026-02-08,SKU00148,WH-BLR,Inbound,271,8543.4
INV00301,2026-02-05,SKU00109,WH-KOL,Outbound,57,2319.81
INV00302,2026-07-07,SKU00480,WH-BLR,Inbound,792,2279.72
INV00303,2026-05-13,SKU00498,WH-KOL,Inbound,123,735.5
INV00304,2026-06-29,SKU00145,WH-MUM,Inbound,446,1430.63
INV00305,2026-04-05,SKU00287,WH-MUM,Inbound,605,2477.64
INV00306,2026-06-01,SKU00024,WH-DEL,Inbound,53,1016.84
INV00307,2026-05-09,SKU00098,WH-KOL,Outbound,37,10029.72
INV00308,2026-03-14,SKU00486,WH-MUM,Outbound,14,837.97
INV00309,2026-07-17,SKU00201,WH-MUM,Outbound,8,11137.81
INV00310,2026-05-06,SKU00488,WH-DEL,Inbound,134,2491.44
INV00311,2026-07-17,SKU00131,WH-BLR,Inbound,266,8985.14
INV00312,2026-04-18,SKU00418,WH-MUM,Outbound,2,1493.1
INV00313,2026-03-15,SKU00206,WH-KOL,Outbound,1,7902.26
INV00314,2026-07-28,SKU00067,WH-BLR,Outbound,39,951.37
INV00315,2026-07-17,SKU00255,WH-MUM,Outbound,18,11085.77
INV00316,2026-07-18,SKU00295,WH-KOL,Outbound,38,662.59
INV00317,2026-02-05,SKU00301,WH-MUM,Inbound,329,1418.75
INV00318,2026-03-24,SKU00168,WH-MUM,Inbound,242,867.2
INV00319,2026-06-06,SKU00133,WH-DEL,Outbound,3,1838.05
INV00320,2026-04-19,SKU00068,WH-MUM,Outbound,31,2170.13
INV00321,2026-03-17,SKU00079,WH-BLR,Inbound,441,4863.08
INV00322,2026-03-20,SKU00014,WH-KOL,Inbound,184,8341.7
INV00323,2026-03-11,SKU00266,WH-KOL,Outbound,16,268.37
INV00324,2026-05-06,SKU00243,WH-MUM,Outbound,46,11188.78
INV00325,2026-04-20,SKU00309,WH-MUM,Outbound,53,1171.45
INV00326,2026-05-01,SKU00043,WH-MUM,Outbound,51,1179.69
INV00327,2026-03-06,SKU00070,WH-MUM,Outbound,6,758.25
INV00328,2026-07-26,SKU00335,WH-MUM,Outbound,10,1967.95
INV00329,2026-06-26,SKU00258,WH-KOL,Outbound,18,2854.17
INV00330,2026-02-11,SKU00468,WH-MUM,Outbound,6,961.59
INV00331,2026-03-10,SKU00478,WH-KOL,Inbound,391,2079.08
INV00332,2026-07-20,SKU00465,WH-BLR,Inbound,478,3344.27
INV00333,2026-07-29,SKU00156,WH-MUM,Inbound,419,7355.2
INV00334,2026-05-10,SKU00263,WH-KOL,Outbound,7,3584.01
INV00335,2026-06-11,SKU00070,WH-MUM,Inbound,650,758.25
INV00336,2026-03-31,SKU00481,WH-MUM,Outbound,17,1046.17
INV00337,2026-05-12,SKU00232,WH-MUM,Outbound,42,2075.57
INV00338,2026-07-05,SKU00490,WH-KOL,Outbound,9,1787.72
INV00339,2026-03-05,SKU00224,WH-KOL,Outbound,28,6709.79
INV00340,2026-03-22,SKU00457,WH-MUM,Inbound,327,10584.3
INV00341,2026-06-22,SKU00250,WH-KOL,Outbound,2,3336.03
INV00342,2026-05-01,SKU00100,WH-BLR,Inbound,453,2174.89
INV00343,2026-05-18,SKU00130,WH-BLR,Inbound,679,2485.49
INV00344,2026-07-02,SKU00039,WH-MUM,Outbound,20,9834.23
INV00345,2026-03-13,SKU00346,WH-BLR,Inbound,346,1095.65
INV00346,2026-07-29,SKU00363,WH-MUM,Outbound,45,5713.08
INV00347,2026-02-22,SKU00100,WH-BLR,Outbound,7,2174.89
INV00348,2026-07-13,SKU00030,WH-BLR,Inbound,728,795.94
INV00349,2026-07-28,SKU00405,WH-MUM,Inbound,519,601.86
INV00350,2026-05-28,SKU00085,WH-DEL,Inbound,409,3148.47
INV00351,2026-05-15,SKU00050,WH-BLR,Outbound,43,1378.09
INV00352,2026-02-06,SKU00177,WH-DEL,Outbound,11,2327.45
INV00353,2026-05-19,SKU00500,WH-MUM,Outbound,23,5429.77
INV00354,2026-03-03,SKU00384,WH-MUM,Outbound,5,971.4
INV00355,2026-03-29,SKU00091,WH-DEL,Inbound,566,7317.96
INV00356,2026-04-22,SKU00197,WH-MUM,Inbound,236,4238.42
INV00357,2026-03-20,SKU00471,WH-KOL,Inbound,439,2274.94
INV00358,2026-03-24,SKU00461,WH-MUM,Outbound,38,695.7
INV00359,2026-04-04,SKU00196,WH-BLR,Inbound,606,1010.0
INV00360,2026-02-13,SKU00340,WH-KOL,Inbound,104,1389.69
INV00361,2026-03-02,SKU00202,WH-BLR,Inbound,593,3409.91
INV00362,2026-02-14,SKU00122,WH-BLR,Outbound,20,10686.17
INV00363,2026-06-06,SKU00435,WH-KOL,Inbound,313,1890.71
INV00364,2026-07-02,SKU00146,WH-BLR,Outbound,31,11346.17
INV00365,2026-06-24,SKU00012,WH-BLR,Outbound,7,828.21
INV00366,2026-03-20,SKU00319,WH-MUM,Outbound,34,595.08
INV00367,2026-05-05,SKU00126,WH-MUM,Outbound,4,2406.61
INV00368,2026-04-07,SKU00213,WH-KOL,Inbound,687,1674.16
INV00369,2026-07-26,SKU00042,WH-DEL,Inbound,386,366.12
INV00370,2026-06-17,SKU00382,WH-BLR,Inbound,246,2309.85
INV00371,2026-05-13,SKU00487,WH-KOL,Outbound,48,2169.7
INV00372,2026-03-21,SKU00141,WH-BLR,Outbound,19,1331.57
INV00373,2026-03-24,SKU00312,WH-MUM,Outbound,10,1563.27
INV00374,2026-07-11,SKU00161,WH-DEL,Outbound,2,1214.64
INV00375,2026-04-02,SKU00240,WH-BLR,Inbound,154,1882.77
INV00376,2026-05-17,SKU00224,WH-KOL,Inbound,682,6709.79
INV00377,2026-05-02,SKU00195,WH-BLR,Outbound,38,2145.91
INV00378,2026-04-23,SKU00086,WH-BLR,Inbound,552,1011.59
