Return_ID,Order_ID,SKU,Seller_ID,Warehouse_ID,Return_Reason,Return_Date,Refund_Amount,Resolution_Time_hrs,Return_Category
RET00058,ORD009689,SKU00296,SEL0039,WH-MUM,Late Delivery,2026-05-17,402.64,107,Logistics Fault
RET00059,ORD011203,SKU00172,SEL0002,WH-MUM,Changed Mind,2026-03-18,9492.66,108,Customer Preference
RET00060,ORD000280,SKU00363,SEL0121,WH-MUM,Changed Mind,2026-05-27,9067.3,66,Customer Preference
RET00061,ORD006568,SKU00295,SEL0120,WH-KOL,Damaged Product,2026-06-30,986.82,59,Seller Fault
RET00062,ORD003090,SKU00363,SEL0121,WH-MUM,Size Issue,2026-03-28,9067.3,48,Customer Preference
RET00063,ORD006081,SKU00209,SEL0076,WH-KOL,Better Price Found,2026-02-26,936.59,14,Customer Preference
RET00064,ORD008799,SKU00386,SEL0076,WH-KOL,Quality Not as Expected,2026-02-23,2014.13,55,Customer Preference
RET00065,ORD007142,SKU00181,SEL0056,WH-MUM,Damaged Product,2026-04-12,798.91,101,Seller Fault
RET00066,ORD003560,SKU00134,SEL0028,WH-DEL,Size Issue,2026-04-19,5324.04,94,Customer Preference
RET00067,ORD000384,SKU00203,SEL0050,WH-KOL,Damaged Product,2026-05-03,472.11,40,Seller Fault
RET00068,ORD002921,SKU00483,SEL0093,WH-MUM,Quality Not as Expected,2026-03-24,581.49,40,Customer Preference
RET00069,ORD008538,SKU00094,SEL0070,WH-DEL,Damaged Product,2026-02-28,697.5,63,Seller Fault
RET00070,ORD006516,SKU00153,SEL0068,WH-BLR,Product Defective,2026-06-01,1466.43,63,Seller Fault
RET00071,ORD011154,SKU00202,SEL0042,WH-BLR,Quality Not as Expected,2026-06-21,4217.46,31,Customer Preference
RET00072,ORD001748,SKU00219,SEL0081,WH-KOL,Product Defective,2026-03-22,2112.76,103,Seller Fault
RET00073,ORD008369,SKU00392,SEL0104,WH-BLR,Changed Mind,2026-04-10,183.36,75,Customer Preference
RET00074,ORD005987,SKU00057,SEL0117,WH-MUM,Quality Not as Expected,2026-03-14,4825.23,86,Customer Preference
RET00075,ORD000934,SKU00369,SEL0066,WH-DEL,Damaged Product,2026-06-26,12226.57,114,Seller Fault
RET00076,ORD007517,SKU00184,SEL0072,WH-KOL,Wrong Item Delivered,2026-06-16,973.69,87,Seller Fault
RET00077,ORD002757,SKU00442,SEL0003,WH-DEL,Quality Not as Expected,2026-04-12,9358.48,64,Customer Preference
RET00078,ORD007783,SKU00226,SEL0030,WH-BLR,Size Issue,2026-02-12,17135.24,26,Customer Preference
RET00079,ORD005747,SKU00458,SEL0130,WH-MUM,Product Defective,2026-03-08,12355.36,99,Seller Fault
RET00080,ORD001338,SKU00487,SEL0041,WH-KOL,Changed Mind,2026-06-17,2805.62,13,Customer Preference
RET00081,ORD006922,SKU00162,SEL0005,WH-BLR,Size Issue,2026-03-13,6039.2,50,Customer Preference
RET00082,ORD002021,SKU00272,SEL0133,WH-MUM,Quality Not as Expected,2026-03-20,17837.72,60,Customer Preference
RET00083,ORD002659,SKU00111,SEL0035,WH-MUM,Size Issue,2026-06-08,277.8,99,Customer Preference
RET00084,ORD003124,SKU00266,SEL0099,WH-KOL,Quality Not as Expected,2026-06-22,1127.88,82,Customer Preference
RET00085,ORD009439,SKU00482,SEL0056,WH-MUM,Damaged Product,2026-06-10,2368.15,35,Seller Fault
RET00086,ORD002342,SKU00394,SEL0113,WH-BLR,Quality Not as Expected,2026-04-26,6048.45,103,Customer Preference
RET00087,ORD003589,SKU00025,SEL0091,WH-KOL,Size Issue,2026-06-21,7003.01,33,Customer Preference
RET00088,ORD003152,SKU00279,SEL0034,WH-MUM,Product Defective,2026-06-08,1355.94,35,Seller Fault
RET00089,ORD002855,SKU00258,SEL0018,WH-KOL,Size Issue,2026-02-23,4356.86,53,Customer Preference
RET00090,ORD010462,SKU00481,SEL0027,WH-MUM,Late Delivery,2026-05-18,1508.73,65,Logistics Fault
RET00091,ORD009051,SKU00009,SEL0094,WH-BLR,Damaged Product,2026-08-08,4089.84,75,Seller Fault
RET00092,ORD006671,SKU00288,SEL0054,WH-BLR,Better Price Found,2026-06-12,3088.1,103,Customer Preference
RET00093,ORD006957,SKU00159,SEL0093,WH-MUM,Quality Not as Expected,2026-05-06,1741.73,56,Customer Preference
RET00094,ORD007842,SKU00495,SEL0107,WH-BLR,Quality Not as Expected,2026-02-16,3489.81,46,Customer Preference
RET00095,ORD003518,SKU00029,SEL0045,WH-MUM,Quality Not as Expected,2026-07-31,16382.54,36,Customer Preference
RET00096,ORD002139,SKU00196,SEL0046,WH-BLR,Size Issue,2026-04-15,1252.48,45,Customer Preference
RET00097,ORD008573,SKU00114,SEL0122,WH-KOL,Size Issue,2026-08-05,12021.79,62,Customer Preference
RET00098,ORD010193,SKU00057,SEL0117,WH-MUM,Damaged Product,2026-02-25,1608.41,53,Seller Fault
RET00099,ORD003890,SKU00005,SEL0017,WH-BLR,Quality Not as Expected,2026-04-24,130.56,53,Customer Preference
RET00100,ORD006086,SKU00063,SEL0121,WH-MUM,Size Issue,2026-06-27,39084.6,51,Customer Preference
RET00101,ORD006298,SKU00368,SEL0042,WH-BLR,Late Delivery,2026-04-15,3382.95,57,Logistics Fault
RET00102,ORD011197,SKU00361,SEL0015,WH-MUM,Damaged Product,2026-03-17,591.85,45,Seller Fault
RET00103,ORD006087,SKU00396,SEL0140,WH-BLR,Damaged Product,2026-07-15,7850.97,98,Seller Fault
RET00104,ORD005030,SKU00176,SEL0037,WH-KOL,Quality Not as Expected,2026-04-12,3718.93,55,Customer Preference
RET00105,ORD002525,SKU00480,SEL0043,WH-BLR,Changed Mind,2026-02-25,2807.37,109,Customer Preference
RET00106,ORD005521,SKU00448,SEL0098,WH-MUM,Size Issue,2026-06-27,47618.7,78,Customer Preference
RET00107,ORD009412,SKU00018,SEL0060,WH-BLR,Product Defective,2026-02-28,24536.72,9,Seller Fault
RET00108,ORD005561,SKU00315,SEL0023,WH-BLR,Size Issue,2026-04-09,4608.36,112,Customer Preference
RET00109,ORD005705,SKU00042,SEL0010,WH-DEL,Size Issue,2026-04-23,446.13,103,Customer Preference
RET00110,ORD003143,SKU00393,SEL0136,WH-DEL,Size Issue,2026-03-20,25758.22,11,Customer Preference
RET00111,ORD008418,SKU00305,SEL0065,WH-DEL,Size Issue,2026-06-12,7477.02,69,Customer Preference
RET00112,ORD002474,SKU00368,SEL0042,WH-BLR,Late Delivery,2026-08-01,3382.95,111,Logistics Fault
RET00113,ORD011063,SKU00221,SEL0089,WH-MUM,Better Price Found,2026-03-07,29482.17,37,Customer Preference
RET00114,ORD010730,SKU00346,SEL0104,WH-BLR,Product Defective,2026-07-02,1704.28,14,Seller Fault
RET00115,ORD002149,SKU00189,SEL0090,WH-MUM,Quality Not as Expected,2026-08-09,5137.47,108,Customer Preference
RET00116,ORD005011,SKU00328,SEL0037,WH-KOL,Size Issue,2026-04-24,4886.61,96,Customer Preference
RET00117,ORD003865,SKU00418,SEL0090,WH-MUM,Product Defective,2026-07-02,3517.2,31,Seller Fault
RET00118,ORD002148,SKU00356,SEL0024,WH-MUM,Changed Mind,2026-07-12,42999.3,79,Customer Preference
RET00119,ORD003996,SKU00041,SEL0032,WH-DEL,Changed Mind,2026-04-14,3228.96,62,Customer Preference
RET00120,ORD009209,SKU00463,SEL0014,WH-BLR,Better Price Found,2026-03-02,4829.59,95,Customer Preference
RET00121,ORD007424,SKU00218,SEL0015,WH-MUM,Wrong Item Delivered,2026-03-20,5818.56,109,Seller Fault
RET00122,ORD000427,SKU00378,SEL0006,WH-MUM,Changed Mind,2026-04-15,3312.42,48,Customer Preference
RET00123,ORD010158,SKU00453,SEL0143,WH-BLR,Quality Not as Expected,2026-05-03,1584.13,8,Customer Preference
RET00124,ORD006061,SKU00324,SEL0076,WH-KOL,Product Defective,2026-03-26,2427.72,36,Seller Fault
RET00125,ORD009086,SKU00173,SEL0109,WH-MUM,Wrong Item Delivered,2026-06-20,31403.08,86,Seller Fault
RET00126,ORD005776,SKU00057,SEL0117,WH-MUM,Quality Not as Expected,2026-07-19,1608.41,90,Customer Preference
RET00127,ORD010008,SKU00472,SEL0040,WH-MUM,Damaged Product,2026-02-23,26106.56,39,Seller Fault
RET00128,ORD006070,SKU00053,SEL0074,WH-DEL,Damaged Product,2026-07-12,2188.6,14,Seller Fault
RET00129,ORD002028,SKU00122,SEL0150,WH-BLR,Wrong Item Delivered,2026-04-26,16658.39,47,Seller Fault
RET00130,ORD002070,SKU00321,SEL0138,WH-MUM,Better Price Found,2026-02-22,1067.02,7,Customer Preference
RET00131,ORD005286,SKU00482,SEL0056,WH-MUM,Quality Not as Expected,2026-05-31,2368.15,61,Customer Preference
RET00132,ORD006643,SKU00247,SEL0144,WH-BLR,Wrong Item Delivered,2026-04-20,32316.9,119,Seller Fault
RET00133,ORD001928,SKU00059,SEL0133,WH-MUM,Quality Not as Expected,2026-08-03,4309.2,71,Customer Preference
RET00134,ORD004601,SKU00416,SEL0049,WH-BLR,Product Defective,2026-03-16,9551.39,81,Seller Fault
RET00135,ORD005948,SKU00185,SEL0067,WH-BLR,Damaged Product,2026-05-06,18843.7,28,Seller Fault
RET00136,ORD003211,SKU00219,SEL0081,WH-KOL,Changed Mind,2026-04-12,1056.38,26,Customer Preference
RET00137,ORD011280,SKU00363,SEL0121,WH-MUM,Quality Not as Expected,2026-08-09,27201.9,81,Customer Preference
RET00138,ORD003322,SKU00268,SEL0012,WH-KOL,Late Delivery,2026-04-26,80.4,56,Logistics Fault
RET00139,ORD010060,SKU00114,SEL0122,WH-KOL,Size Issue,2026-04-12,12021.79,39,Customer Preference
RET00140,ORD009423,SKU00042,SEL0010,WH-DEL,Size Issue,2026-03-16,446.13,5,Customer Preference
RET00141,ORD011519,SKU00394,SEL0113,WH-BLR,Late Delivery,2026-08-01,2016.15,33,Logistics Fault
RET00142,ORD004908,SKU00326,SEL0025,WH-MUM,Better Price Found,2026-06-25,3020.88,55,Customer Preference
RET00143,ORD008440,SKU00456,SEL0021,WH-BLR,Size Issue,2026-04-03,1215.38,72,Customer Preference
RET00144,ORD009208,SKU00433,SEL0109,WH-MUM,Late Delivery,2026-07-22,19942.83,90,Logistics Fault
RET00145,ORD003267,SKU00151,SEL0014,WH-BLR,Late Delivery,2026-03-28,1483.66,43,Logistics Fault
RET00146,ORD006604,SKU00201,SEL0092,WH-MUM,Wrong Item Delivered,2026-06-26,14134.53,7,Seller Fault
RET00147,ORD002321,SKU00388,SEL0099,WH-KOL,Better Price Found,2026-07-02,7985.79,39,Customer Preference
RET00148,ORD010664,SKU00258,SEL0018,WH-KOL,Size Issue,2026-04-19,8713.72,62,Customer Preference
RET00149,ORD000790,SKU00099,SEL0060,WH-BLR,Damaged Product,2026-03-25,1320.07,61,Seller Fault
RET00150,ORD008698,SKU00483,SEL0093,WH-MUM,Better Price Found,2026-07-05,581.49,9,Customer Preference
RET00151,ORD009873,SKU00256,SEL0123,WH-MUM,Changed Mind,2026-06-23,1410.2,115,Customer Preference
RET00152,ORD008489,SKU00254,SEL0123,WH-MUM,Changed Mind,2026-05-10,14036.59,25,Customer Preference
RET00153,ORD000385,SKU00445,SEL0095,WH-KOL,Changed Mind,2026-07-07,372.26,91,Customer Preference
RET00154,ORD009555,SKU00447,SEL0066,WH-DEL,Better Price Found,2026-02-21,1676.96,54,Customer Preference
RET00155,ORD003162,SKU00306,SEL0116,WH-KOL,Late Delivery,2026-05-28,6199.51,18,Logistics Fault
RET00156,ORD007197,SKU00375,SEL0042,WH-BLR,Late Delivery,2026-05-30,3909.09,16,Logistics Fault
RET00157,ORD007323,SKU00353,SEL0055,WH-MUM,Quality Not as Expected,2026-03-16,4063.42,55,Customer Preference
RET00158,ORD002060,SKU00295,SEL0120,WH-KOL,Damaged Product,2026-04-09,1973.64,78,Seller Fault
RET00159,ORD003889,SKU00036,SEL0074,WH-DEL,Damaged Product,2026-03-19,1836.13,81,Seller Fault
RET00160,ORD002189,SKU00311,SEL0050,WH-KOL,Product Defective,2026-05-12,3162.45,32,Seller Fault
RET00161,ORD010108,SKU00070,SEL0034,WH-MUM,Wrong Item Delivered,2026-04-02,2245.36,71,Seller Fault
RET00162,ORD008948,SKU00172,SEL0002,WH-MUM,Wrong Item Delivered,2026-07-16,6328.44,41,Seller Fault
RET00163,ORD007669,SKU00414,SEL0141,WH-MUM,Damaged Product,2026-05-19,505.41,56,Seller Fault
RET00164,ORD011174,SKU00272,SEL0133,WH-MUM,Size Issue,2026-04-25,17837.72,92,Customer Preference
RET00165,ORD006485,SKU00030,SEL0011,WH-BLR,Better Price Found,2026-08-10,1113.36,119,Customer Preference
RET00166,ORD006842,SKU00290,SEL0028,WH-DEL,Damaged Product,2026-03-28,11980.89,68,Seller Fault
RET00167,ORD000579,SKU00066,SEL0123,WH-MUM,Changed Mind,2026-03-03,7087.29,111,Customer Preference
RET00168,ORD003188,SKU00296,SEL0039,WH-MUM,Wrong Item Delivered,2026-02-14,402.64,91,Seller Fault
RET00169,ORD005343,SKU00377,SEL0101,WH-MUM,Wrong Item Delivered,2026-06-25,21299.86,41,Seller Fault
RET00170,ORD004343,SKU00162,SEL0005,WH-BLR,Changed Mind,2026-03-24,3019.6,35,Customer Preference
RET00171,ORD004865,SKU00381,SEL0025,WH-MUM,Product Defective,2026-06-12,1258.03,62,Seller Fault
RET00172,ORD007482,SKU00435,SEL0077,WH-KOL,Changed Mind,2026-04-21,2569.61,54,Customer Preference
RET00173,ORD000076,SKU00255,SEL0061,WH-MUM,Product Defective,2026-05-02,17156.89,54,Seller Fault
RET00174,ORD002928,SKU00109,SEL0026,WH-KOL,Better Price Found,2026-07-12,5559.62,27,Customer Preference
RET00175,ORD005584,SKU00279,SEL0034,WH-MUM,Product Defective,2026-06-18,4067.82,72,Seller Fault
RET00176,ORD010125,SKU00221,SEL0089,WH-MUM,Size Issue,2026-04-19,19654.78,98,Customer Preference
RET00177,ORD000390,SKU00396,SEL0140,WH-BLR,Damaged Product,2026-06-12,15701.94,7,Seller Fault
RET00178,ORD010326,SKU00405,SEL0082,WH-MUM,Changed Mind,2026-07-26,781.52,94,Customer Preference
RET00179,ORD001113,SKU00197,SEL0040,WH-MUM,Changed Mind,2026-03-04,18723.72,26,Customer Preference
RET00180,ORD010207,SKU00074,SEL0026,WH-KOL,Damaged Product,2026-06-12,7751.44,32,Seller Fault
RET00181,ORD005305,SKU00162,SEL0005,WH-BLR,Changed Mind,2026-05-26,3019.6,53,Customer Preference
RET00182,ORD008905,SKU00104,SEL0031,WH-KOL,Wrong Item Delivered,2026-05-05,1619.34,66,Seller Fault
RET00183,ORD008137,SKU00123,SEL0003,WH-DEL,Changed Mind,2026-04-01,7962.85,86,Customer Preference
RET00184,ORD000247,SKU00168,SEL0062,WH-MUM,Size Issue,2026-08-06,3378.96,57,Customer Preference
RET00185,ORD004136,SKU00430,SEL0110,WH-DEL,Product Defective,2026-06-02,30608.52,15,Seller Fault
RET00186,ORD000556,SKU00183,SEL0104,WH-BLR,Wrong Item Delivered,2026-03-21,498.48,67,Seller Fault
RET00187,ORD000481,SKU00054,SEL0147,WH-BLR,Quality Not as Expected,2026-04-14,8616.0,58,Customer Preference
RET00188,ORD011240,SKU00036,SEL0074,WH-DEL,Damaged Product,2026-06-16,3672.26,91,Seller Fault
RET00189,ORD002422,SKU00053,SEL0074,WH-DEL,Late Delivery,2026-07-25,1094.3,84,Logistics Fault
RET00190,ORD003976,SKU00024,SEL0108,WH-DEL,Product Defective,2026-07-27,2630.78,58,Seller Fault
RET00191,ORD002520,SKU00273,SEL0130,WH-MUM,Better Price Found,2026-03-31,33472.96,53,Customer Preference
RET00192,ORD005999,SKU00497,SEL0122,WH-KOL,Wrong Item Delivered,2026-08-02,3960.44,34,Seller Fault
RET00193,ORD007036,SKU00215,SEL0069,WH-DEL,Changed Mind,2026-07-03,9124.18,109,Customer Preference
RET00194,ORD002830,SKU00393,SEL0136,WH-DEL,Late Delivery,2026-03-08,25758.22,92,Logistics Fault
RET00195,ORD006076,SKU00093,SEL0070,WH-DEL,Quality Not as Expected,2026-03-01,1959.87,110,Customer Preference
RET00196,ORD004777,SKU00073,SEL0085,WH-DEL,Quality Not as Expected,2026-06-21,1996.46,31,Customer Preference
RET00197,ORD002126,SKU00375,SEL0042,WH-BLR,Size Issue,2026-08-10,7818.18,99,Customer Preference
RET00198,ORD006173,SKU00472,SEL0040,WH-MUM,Changed Mind,2026-04-30,39159.84,89,Customer Preference
RET00199,ORD002638,SKU00188,SEL0003,WH-DEL,Damaged Product,2026-03-24,14659.16,36,Seller Fault
RET00200,ORD006612,SKU00436,SEL0140,WH-BLR,Product Defective,2026-03-09,15382.55,67,Seller Fault
RET00201,ORD001292,SKU00251,SEL0089,WH-MUM,Better Price Found,2026-07-24,40324.62,107,Customer Preference
RET00202,ORD009189,SKU00076,SEL0027,WH-MUM,Product Defective,2026-03-25,2792.44,8,Seller Fault
RET00203,ORD011145,SKU00159,SEL0093,WH-MUM,Product Defective,2026-07-04,3483.46,38,Seller Fault
RET00204,ORD004745,SKU00069,SEL0099,WH-KOL,Better Price Found,2026-05-12,14707.92,117,Customer Preference
RET00205,ORD007808,SKU00419,SEL0081,WH-KOL,Size Issue,2026-04-07,667.69,11,Customer Preference
RET00206,ORD007223,SKU00439,SEL0145,WH-BLR,Quality Not as Expected,2026-05-02,3294.28,78,Customer Preference
RET00207,ORD010953,SKU00488,SEL0134,WH-DEL,Size Issue,2026-07-28,3036.2,86,Customer Preference
RET00208,ORD010914,SKU00104,SEL0031,WH-KOL,Quality Not as Expected,2026-06-13,2429.01,75,Customer Preference
RET00209,ORD008715,SKU00312,SEL0022,WH-MUM,Product Defective,2026-08-17,2227.08,92,Seller Fault
RET00210,ORD009556,SKU00377,SEL0101,WH-MUM,Quality Not as Expected,2026-02-24,21299.86,47,Customer Preference
RET00211,ORD006391,SKU00380,SEL0105,WH-BLR,Quality Not as Expected,2026-05-06,1027.18,18,Customer Preference
RET00212,ORD002137,SKU00135,SEL0042,WH-BLR,Product Defective,2026-02-21,7982.13,107,Seller Fault
RET00213,ORD005232,SKU00163,SEL0097,WH-MUM,Quality Not as Expected,2026-03-20,2396.19,111,Customer Preference
RET00214,ORD007984,SKU00001,SEL0136,WH-DEL,Damaged Product,2026-07-14,6418.18,5,Seller Fault
RET00215,ORD008585,SKU00076,SEL0027,WH-MUM,Product Defective,2026-07-25,8377.32,60,Seller Fault
RET00216,ORD001720,SKU00351,SEL0108,WH-DEL,Quality Not as Expected,2026-06-25,4157.62,23,Customer Preference
RET00217,ORD009119,SKU00419,SEL0081,WH-KOL,Late Delivery,2026-06-16,1335.38,56,Logistics Fault
RET00218,ORD006140,SKU00229,SEL0135,WH-KOL,Late Delivery,2026-04-10,2695.48,42,Logistics Fault
RET00219,ORD011368,SKU00102,SEL0106,WH-DEL,Size Issue,2026-02-14,1546.51,17,Customer Preference
RET00220,ORD011295,SKU00130,SEL0001,WH-BLR,Product Defective,2026-05-31,5803.08,98,Seller Fault
RET00221,ORD008629,SKU00333,SEL0001,WH-BLR,Changed Mind,2026-04-07,4245.5,24,Customer Preference
RET00222,ORD008424,SKU00187,SEL0079,WH-MUM,Wrong Item Delivered,2026-06-01,658.97,45,Seller Fault
RET00223,ORD010680,SKU00198,SEL0086,WH-KOL,Damaged Product,2026-06-09,14097.14,106,Seller Fault
RET00224,ORD007205,SKU00466,SEL0065,WH-DEL,Wrong Item Delivered,2026-07-17,27828.78,12,Seller Fault
RET00225,ORD002810,SKU00462,SEL0011,WH-BLR,Changed Mind,2026-06-17,1474.06,24,Customer Preference
RET00226,ORD003557,SKU00330,SEL0143,WH-BLR,Damaged Product,2026-04-25,3198.39,58,Seller Fault
RET00227,ORD004688,SKU00364,SEL0006,WH-MUM,Quality Not as Expected,2026-06-03,384.77,61,Customer Preference
RET00228,ORD002662,SKU00071,SEL0107,WH-BLR,Wrong Item Delivered,2026-06-17,243.18,12,Seller Fault
RET00229,ORD005171,SKU00078,SEL0018,WH-KOL,Damaged Product,2026-02-10,2352.3,116,Seller Fault
RET00230,ORD000782,SKU00251,SEL0089,WH-MUM,Quality Not as Expected,2026-05-29,13441.54,6,Customer Preference
RET00231,ORD001233,SKU00214,SEL0049,WH-BLR,Wrong Item Delivered,2026-07-22,23312.2,99,Seller Fault
RET00232,ORD005160,SKU00144,SEL0046,WH-BLR,Quality Not as Expected,2026-04-28,1245.43,71,Customer Preference
RET00233,ORD010806,SKU00482,SEL0056,WH-MUM,Quality Not as Expected,2026-06-23,4736.3,78,Customer Preference
RET00234,ORD004626,SKU00257,SEL0008,WH-BLR,Quality Not as Expected,2026-02-21,6519.38,29,Customer Preference
RET00235,ORD002007,SKU00250,SEL0091,WH-KOL,Size Issue,2026-03-28,9256.34,81,Customer Preference
RET00236,ORD009256,SKU00496,SEL0099,WH-KOL,Size Issue,2026-04-07,31623.21,59,Customer Preference
