Delivery_ID,Order_ID,City,Warehouse_ID,Rider_ID,Distance_km,Delivery_Time_hr,Delay_Days,SLA_Met,Fuel_Cost,Traffic_Level,Delivery_Status,Delivery_Month
DEL00031,ORD002415,Delhi,WH-MUM,RID016,17.2,3.05,1,No,93.99,Low,Delivered,2026-03
DEL00032,ORD003888,Bengaluru,WH-MUM,RID028,10.0,2.12,1,No,37.15,High,Delivered,2026-07
DEL00033,ORD001556,Pune,WH-MUM,RID039,225.3,10.09,0,Yes,849.01,Medium,Delivered,2026-05
DEL00034,ORD010367,Bengaluru,WH-MUM,RID017,10.6,0.84,2,No,49.99,Low,Delivered,2026-03
DEL00035,ORD006767,Hyderabad,WH-KOL,RID021,188.6,10.16,0,Yes,961.22,Medium,Delivered,2026-02
DEL00036,ORD000508,Hyderabad,WH-DEL,RID001,379.7,19.07,0,Yes,1794.54,High,Delivered,2026-07
DEL00037,ORD010348,Hyderabad,WH-MUM,RID016,442.6,19.16,0,Yes,1981.28,Medium,Delivered,2026-05
DEL00038,ORD004299,Bengaluru,WH-DEL,RID037,10.5,2.4,1,No,49.86,Medium,Delivered,2026-02
DEL00039,ORD005115,Delhi,WH-DEL,RID033,11.2,1.42,1,No,45.97,Medium,Delivered,2026-06
DEL00040,ORD001927,Pune,WH-MUM,RID007,211.1,10.31,0,Yes,1034.66,Low,Delivered,2026-03
DEL00041,ORD010496,Bengaluru,WH-KOL,RID027,9.3,2.03,1,No,49.82,Medium,Delivered,2026-06
DEL00042,ORD001213,Pune,WH-KOL,RID035,770.1,32.13,0,Yes,4125.07,Low,Delivered,2026-08
DEL00043,ORD003381,Chennai,WH-MUM,RID037,903.8,37.14,0,Yes,4639.57,Low,Delivered,2026-06
DEL00044,ORD008479,Pune,WH-BLR,RID012,477.3,22.11,2,No,2241.08,Medium,Delivered,2026-03
DEL00045,ORD005763,Delhi,WH-MUM,RID034,6.1,3.26,0,Yes,26.0,High,Delivered,2026-03
DEL00046,ORD004426,Bengaluru,WH-KOL,RID030,11.8,3.88,0,Yes,53.24,Low,Delivered,2026-04
DEL00047,ORD006389,Mumbai,WH-BLR,RID032,4.5,3.02,0,Yes,18.17,Medium,Delivered,2026-06
DEL00048,ORD001421,Delhi,WH-KOL,RID026,11.3,1.56,2,No,52.33,Medium,Delivered,2026-02
DEL00049,ORD004470,Pune,WH-DEL,RID027,280.6,12.6,0,Yes,1500.97,Medium,Delivered,2026-07
DEL00050,ORD008849,Hyderabad,WH-BLR,RID037,373.7,17.29,1,No,1748.41,Low,Delivered,2026-06
DEL00051,ORD009307,Pune,WH-DEL,RID035,534.1,22.57,0,Yes,2408.37,High,Delivered,2026-04
DEL00052,ORD002105,Bengaluru,WH-DEL,RID031,7.3,3.78,1,No,32.98,Medium,Delivered,2026-05
DEL00053,ORD001008,Chennai,WH-BLR,RID034,1541.1,63.63,0,Yes,5532.29,Medium,Delivered,2026-07
DEL00054,ORD009275,Hyderabad,WH-BLR,RID012,877.6,36.2,1,No,4161.23,Low,Delivered,2026-05
DEL00055,ORD005832,Ahmedabad,WH-MUM,RID019,870.6,37.47,2,No,3940.59,Medium,Delivered,2026-05
DEL00056,ORD001530,Bengaluru,WH-MUM,RID019,10.1,3.2,0,Yes,50.02,Low,Delivered,2026-05
DEL00057,ORD006935,Kolkata,WH-MUM,RID019,4.1,2.61,1,No,16.39,Medium,Delivered,2026-02
DEL00058,ORD000691,Ahmedabad,WH-BLR,RID014,353.2,16.97,1,No,1534.81,Medium,Delivered,2026-05
DEL00059,ORD001529,Hyderabad,WH-DEL,RID027,307.0,14.66,0,Yes,1562.01,Low,Delivered,2026-02
DEL00060,ORD003790,Pune,WH-BLR,RID011,892.6,39.3,0,Yes,3926.75,Low,Delivered,2026-04
DEL00061,ORD004793,Delhi,WH-KOL,RID012,13.0,3.58,1,No,69.94,Medium,Delivered,2026-05
DEL00062,ORD009431,Bengaluru,WH-BLR,RID010,7.6,1.65,0,Yes,34.59,Medium,Delivered,2026-02
DEL00063,ORD001199,Bengaluru,WH-MUM,RID037,12.3,1.8,0,Yes,59.21,Low,Delivered,2026-02
DEL00064,ORD007976,Kolkata,WH-MUM,RID015,14.7,2.47,0,Yes,54.54,Low,Delivered,2026-05
DEL00065,ORD005696,Chennai,WH-MUM,RID026,1473.5,60.93,1,No,6408.13,High,Delivered,2026-05
DEL00066,ORD010576,Ahmedabad,WH-BLR,RID036,534.4,22.7,2,No,2173.65,Medium,Delivered,2026-07
DEL00067,ORD006624,Pune,WH-BLR,RID006,472.9,19.93,0,Yes,1759.27,Medium,Delivered,2026-03
DEL00068,ORD008720,Kolkata,WH-KOL,RID001,7.1,2.06,0,Yes,36.11,Low,Delivered,2026-05
DEL00069,ORD001112,Bengaluru,WH-BLR,RID036,16.3,1.99,0,Yes,85.08,Medium,Delivered,2026-08
DEL00070,ORD003752,Bengaluru,WH-BLR,RID032,15.8,2.69,0,Yes,81.74,Medium,Delivered,2026-05
DEL00071,ORD004427,Bengaluru,WH-BLR,RID013,11.1,0.5,0,Yes,45.88,Medium,Delivered,2026-03
DEL00072,ORD006209,Ahmedabad,WH-DEL,RID026,447.7,20.99,0,Yes,1636.34,Low,Delivered,2026-07
DEL00073,ORD009542,Hyderabad,WH-KOL,RID033,182.7,8.97,2,No,846.2,Medium,Delivered,2026-08
DEL00074,ORD005869,Mumbai,WH-BLR,RID010,9.5,2.69,0,Yes,50.8,Medium,Delivered,2026-04
DEL00075,ORD000103,Bengaluru,WH-MUM,RID008,14.5,0.5,1,No,65.08,Low,Delivered,2026-07
DEL00076,ORD004858,Hyderabad,WH-BLR,RID026,243.1,11.8,1,No,1194.75,Medium,Delivered,2026-04
DEL00077,ORD010885,Kolkata,WH-BLR,RID036,12.5,2.35,0,Yes,62.13,Medium,Delivered,2026-02
DEL00078,ORD000235,Pune,WH-BLR,RID031,259.8,12.33,0,Yes,1161.23,Medium,Delivered,2026-02
DEL00079,ORD004488,Bengaluru,WH-BLR,RID003,14.5,2.77,1,No,70.05,Medium,Delivered,2026-04
DEL00080,ORD002126,Mumbai,WH-BLR,RID026,7.2,1.72,0,Yes,37.05,Low,Delivered,2026-08
DEL00081,ORD007958,Chennai,WH-BLR,RID009,1277.6,53.48,4,No,4799.65,High,Delivered,2026-06
DEL00082,ORD006265,Hyderabad,WH-KOL,RID030,597.5,23.22,1,No,2434.14,High,Delivered,2026-03
DEL00083,ORD003623,Ahmedabad,WH-KOL,RID014,715.7,30.9,0,Yes,3353.97,High,Delivered,2026-07
DEL00084,ORD000680,Mumbai,WH-MUM,RID016,6.0,2.42,0,Yes,27.5,Low,Delivered,2026-05
DEL00085,ORD007461,Ahmedabad,WH-KOL,RID037,843.4,37.28,0,Yes,3679.88,Low,Delivered Late,2026-03
DEL00086,ORD006486,Hyderabad,WH-DEL,RID019,792.8,33.99,0,Yes,3357.16,Low,Delivered,2026-04
DEL00087,ORD002487,Bengaluru,WH-MUM,RID028,10.1,0.5,2,No,50.72,Low,Delivered,2026-07
DEL00088,ORD006185,Bengaluru,WH-BLR,RID035,15.0,2.13,0,Yes,73.85,Medium,Delivered,2026-02
DEL00089,ORD009988,Delhi,WH-DEL,RID008,14.6,2.12,2,No,57.72,High,Delivered,2026-05
DEL00090,ORD006377,Bengaluru,WH-BLR,RID035,15.5,2.52,1,No,81.7,Medium,Delivered,2026-03
DEL00091,ORD010565,Hyderabad,WH-BLR,RID040,379.3,16.83,0,Yes,2064.08,Medium,Delivered,2026-05
DEL00092,ORD005867,Bengaluru,WH-MUM,RID033,12.7,2.58,2,No,57.2,Low,Delivered,2026-07
DEL00093,ORD008979,Bengaluru,WH-KOL,RID011,9.7,1.43,4,No,48.48,Medium,Delivered,2026-03
DEL00094,ORD002745,Ahmedabad,WH-DEL,RID001,478.2,22.72,4,No,2344.54,High,Delivered,2026-05
DEL00095,ORD000348,Ahmedabad,WH-BLR,RID024,220.8,10.71,4,No,813.13,Medium,Delivered,2026-03
DEL00096,ORD003440,Pune,WH-BLR,RID022,768.9,34.93,0,Yes,3917.08,Medium,Delivered,2026-06
DEL00097,ORD010621,Chennai,WH-MUM,RID003,1073.8,43.6,4,No,4263.35,Medium,Delivered,2026-03
DEL00098,ORD007079,Mumbai,WH-BLR,RID006,8.8,1.93,1,No,34.04,Low,Delivered,2026-03
DEL00099,ORD005730,Ahmedabad,WH-KOL,RID034,540.6,24.36,0,Yes,1908.81,Low,Delivered,2026-02
DEL00100,ORD009264,Delhi,WH-DEL,RID004,7.7,0.82,1,No,31.18,Medium,Delivered,2026-05
DEL00101,ORD007030,Delhi,WH-BLR,RID035,13.0,3.73,1,No,54.67,Medium,Delivered,2026-07
DEL00102,ORD004624,Hyderabad,WH-KOL,RID010,665.5,28.77,4,No,2847.99,Medium,Delivered,2026-03
DEL00103,ORD006970,Hyderabad,WH-DEL,RID020,751.6,32.2,4,No,3396.21,High,Delivered,2026-06
DEL00104,ORD000275,Chennai,WH-BLR,RID029,1126.2,48.36,0,Yes,5053.97,High,Delivered,2026-05
DEL00105,ORD009941,Hyderabad,WH-KOL,RID019,522.6,22.44,2,No,2231.49,Low,Delivered,2026-04
DEL00106,ORD002263,Mumbai,WH-MUM,RID031,5.2,1.64,4,No,24.59,Medium,Delivered,2026-05
DEL00107,ORD003423,Ahmedabad,WH-MUM,RID033,187.2,9.08,0,Yes,971.54,Low,Delivered,2026-02
DEL00108,ORD004860,Pune,WH-BLR,RID030,439.9,19.28,0,Yes,1589.84,Medium,Delivered,2026-06
DEL00109,ORD007959,Delhi,WH-DEL,RID006,15.7,1.38,0,Yes,70.22,Medium,Delivered,2026-05
DEL00110,ORD009977,Pune,WH-DEL,RID036,734.6,31.77,2,No,2600.82,High,Delivered Late,2026-03
DEL00111,ORD010816,Chennai,WH-KOL,RID031,1971.5,72.0,4,No,8833.31,Low,Delivered,2026-04
DEL00112,ORD008581,Hyderabad,WH-MUM,RID034,753.9,31.96,0,Yes,2716.89,Low,Delivered,2026-07
DEL00113,ORD010108,Kolkata,WH-MUM,RID035,9.4,2.2,1,No,37.77,Low,Delivered,2026-03
DEL00114,ORD006785,Mumbai,WH-MUM,RID025,14.0,3.36,2,No,57.47,High,Delivered,2026-05
DEL00115,ORD009890,Pune,WH-KOL,RID026,265.3,12.92,0,Yes,1143.4,High,Delivered,2026-04
DEL00116,ORD002148,Bengaluru,WH-MUM,RID033,5.8,2.7,0,Yes,31.79,Medium,Delivered,2026-06
DEL00117,ORD008634,Hyderabad,WH-BLR,RID011,365.2,16.44,2,No,1821.72,Low,Delivered Late,2026-06
DEL00118,ORD005377,Kolkata,WH-BLR,RID012,10.1,2.89,0,Yes,52.58,High,Delivered Late,2026-06
DEL00119,ORD007010,Kolkata,WH-MUM,RID012,5.0,4.17,2,No,26.63,Medium,Delivered,2026-06
DEL00120,ORD002925,Delhi,WH-BLR,RID025,6.2,3.43,2,No,25.31,High,Delivered,2026-04
DEL00121,ORD008652,Bengaluru,WH-BLR,RID020,4.5,1.24,0,Yes,16.39,Medium,Delivered,2026-03
DEL00122,ORD007458,Kolkata,WH-DEL,RID028,17.7,3.85,0,Yes,70.53,High,Delivered,2026-06
DEL00123,ORD004797,Ahmedabad,WH-KOL,RID033,893.7,38.21,0,Yes,4818.43,Low,Delivered,2026-03
DEL00124,ORD010589,Mumbai,WH-BLR,RID007,12.2,2.51,1,No,60.54,High,Delivered,2026-07
DEL00125,ORD007742,Hyderabad,WH-KOL,RID008,640.0,28.41,1,No,3010.94,Medium,Delivered,2026-06
DEL00126,ORD002908,Delhi,WH-MUM,RID024,12.8,3.18,0,Yes,69.75,Low,Delivered,2026-06
DEL00127,ORD000643,Chennai,WH-KOL,RID001,1495.7,62.03,1,No,6528.15,Medium,Delivered,2026-03
DEL00128,ORD006146,Delhi,WH-KOL,RID032,9.5,2.02,1,No,48.55,Medium,Delivered,2026-07
DEL00129,ORD009747,Kolkata,WH-MUM,RID039,10.4,1.67,2,No,47.28,Medium,Delivered,2026-03
DEL00130,ORD011188,Pune,WH-KOL,RID031,789.4,34.41,0,Yes,4080.6,Low,Delivered,2026-02
DEL00131,ORD008527,Ahmedabad,WH-DEL,RID017,379.3,17.52,0,Yes,1980.31,Low,Delivered,2026-06
DEL00132,ORD002097,Pune,WH-KOL,RID030,263.0,12.26,0,Yes,979.56,Medium,Delivered,2026-05
DEL00133,ORD000545,Mumbai,WH-MUM,RID030,11.6,2.44,0,Yes,50.46,Medium,Delivered,2026-06
DEL00134,ORD008762,Hyderabad,WH-BLR,RID038,669.2,28.4,0,Yes,2819.19,Low,Delivered,2026-07
DEL00135,ORD000692,Chennai,WH-MUM,RID024,1881.1,72.0,0,Yes,9034.07,Low,Delivered Late,2026-05
DEL00136,ORD005310,Kolkata,WH-MUM,RID009,6.7,3.5,0,Yes,28.83,Low,Delivered,2026-04
DEL00137,ORD001462,Pune,WH-BLR,RID031,682.3,29.43,0,Yes,3428.84,Medium,Delivered,2026-03
DEL00138,ORD003848,Delhi,WH-MUM,RID025,6.5,0.5,0,Yes,27.74,Medium,Delivered,2026-03
DEL00139,ORD006211,Hyderabad,WH-MUM,RID004,623.0,27.68,1,No,2634.08,Medium,Delivered,2026-04
DEL00140,ORD008834,Pune,WH-BLR,RID032,546.7,24.18,1,No,2201.72,Medium,Delivered,2026-06
DEL00141,ORD001761,Chennai,WH-BLR,RID031,1412.0,59.04,0,Yes,6295.54,Low,Delivered,2026-04
DEL00142,ORD002411,Pune,WH-MUM,RID038,156.9,9.35,1,No,745.63,Medium,Delivered Late,2026-05
DEL00143,ORD011197,Mumbai,WH-MUM,RID036,10.4,2.27,0,Yes,49.46,Medium,Delivered,2026-03
DEL00144,ORD005200,Mumbai,WH-MUM,RID008,17.3,2.84,1,No,77.25,Low,Delivered,2026-06
DEL00145,ORD010180,Chennai,WH-MUM,RID003,1375.4,55.7,1,No,7227.62,High,Delivered,2026-06
DEL00146,ORD009094,Delhi,WH-KOL,RID037,9.9,1.87,4,No,39.33,Low,Delivered,2026-05
DEL00147,ORD006008,Mumbai,WH-MUM,RID020,11.1,3.38,1,No,45.86,High,Delivered,2026-03
DEL00148,ORD004515,Ahmedabad,WH-DEL,RID040,453.8,20.12,1,No,2025.77,High,Delivered,2026-06
DEL00149,ORD010432,Ahmedabad,WH-MUM,RID034,435.5,19.05,4,No,1916.14,Medium,Delivered,2026-03
DEL00150,ORD004993,Kolkata,WH-MUM,RID020,14.1,2.84,0,Yes,66.38,Medium,Delivered,2026-04
DEL00151,ORD000060,Bengaluru,WH-DEL,RID025,12.6,1.6,1,No,49.4,Medium,Delivered,2026-06
DEL00152,ORD010889,Hyderabad,WH-BLR,RID009,316.3,14.1,2,No,1259.46,High,Delivered,2026-06
DEL00153,ORD006192,Delhi,WH-MUM,RID009,16.6,3.46,4,No,79.66,Low,Delivered,2026-06
DEL00154,ORD002294,Hyderabad,WH-MUM,RID014,432.6,17.59,4,No,2337.02,Medium,Delivered,2026-04
DEL00155,ORD011507,Kolkata,WH-DEL,RID008,10.9,1.92,1,No,54.22,Medium,Delivered,2026-02
DEL00156,ORD005973,Ahmedabad,WH-DEL,RID001,290.3,13.72,1,No,1426.9,High,Delivered,2026-04
DEL00157,ORD003645,Hyderabad,WH-DEL,RID011,433.8,19.75,1,No,1892.96,Medium,Delivered,2026-04
DEL00158,ORD006212,Chennai,WH-MUM,RID004,1776.4,72.0,1,No,6977.72,Low,Delivered,2026-05
DEL00159,ORD007899,Pune,WH-BLR,RID024,733.2,31.83,4,No,3552.22,Medium,Delivered,2026-03
DEL00160,ORD006926,Mumbai,WH-BLR,RID020,10.6,2.47,1,No,53.71,High,Delivered,2026-05
DEL00161,ORD006735,Delhi,WH-MUM,RID030,10.0,3.65,0,Yes,40.69,Medium,Delivered,2026-04
DEL00162,ORD002100,Chennai,WH-MUM,RID039,1136.1,48.09,2,No,4160.8,Low,Delivered,2026-07
DEL00163,ORD002931,Bengaluru,WH-MUM,RID024,11.4,2.22,0,Yes,61.82,Low,Delivered,2026-02
DEL00164,ORD000613,Ahmedabad,WH-BLR,RID002,205.6,11.33,0,Yes,1093.49,High,Delivered,2026-02
DEL00165,ORD006908,Pune,WH-MUM,RID021,571.4,24.9,1,No,3020.91,Medium,Delivered,2026-08
DEL00166,ORD001448,Chennai,WH-BLR,RID019,1379.8,57.61,4,No,5839.18,Low,Delivered,2026-05
DEL00167,ORD002518,Hyderabad,WH-MUM,RID015,181.7,8.71,0,Yes,805.6,High,Delivered,2026-06
DEL00168,ORD003544,Hyderabad,WH-BLR,RID014,367.9,15.79,0,Yes,1462.07,Medium,Delivered,2026-06
DEL00169,ORD001241,Mumbai,WH-MUM,RID004,13.1,1.02,4,No,64.05,Medium,Delivered,2026-07
DEL00170,ORD006357,Kolkata,WH-BLR,RID013,12.7,1.96,0,Yes,68.93,Medium,Delivered,2026-07
DEL00171,ORD000187,Bengaluru,WH-MUM,RID035,16.0,2.64,0,Yes,60.21,Medium,Delivered,2026-03
DEL00172,ORD002161,Hyderabad,WH-BLR,RID013,679.9,28.6,1,No,3211.8,High,Delivered,2026-07
DEL00173,ORD010604,Delhi,WH-DEL,RID007,4.5,2.43,2,No,20.12,High,Delivered,2026-04
DEL00174,ORD009281,Chennai,WH-MUM,RID001,1676.3,68.87,0,Yes,5955.53,Medium,Delivered,2026-03
DEL00175,ORD010928,Pune,WH-BLR,RID022,423.8,18.96,1,No,1780.84,Medium,Delivered,2026-03
DEL00176,ORD009969,Bengaluru,WH-KOL,RID022,13.4,3.73,0,Yes,69.66,Medium,Delivered,2026-05
DEL00177,ORD000286,Delhi,WH-DEL,RID037,9.5,3.84,1,No,38.32,Medium,Delivered Late,2026-03
DEL00178,ORD004034,Kolkata,WH-KOL,RID005,15.6,1.16,0,Yes,85.42,Medium,Delivered,2026-04
DEL00179,ORD011284,Chennai,WH-MUM,RID005,1009.3,41.25,4,No,5134.47,Low,Delivered,2026-06
DEL00180,ORD005873,Hyderabad,WH-KOL,RID002,768.8,32.92,1,No,3093.16,High,Delivered,2026-06
DEL00181,ORD007754,Pune,WH-MUM,RID017,197.7,9.52,2,No,748.07,High,Delivered,2026-07
DEL00182,ORD010028,Hyderabad,WH-KOL,RID018,759.4,30.9,0,Yes,2995.96,Medium,RTO,2026-04
DEL00183,ORD008074,Delhi,WH-KOL,RID005,10.6,2.81,2,No,54.03,Low,Delivered,2026-07
DEL00184,ORD003777,Delhi,WH-DEL,RID035,17.9,1.61,1,No,71.42,Low,Delivered,2026-03
DEL00185,ORD009960,Ahmedabad,WH-DEL,RID030,728.3,31.79,1,No,3003.04,Low,Delivered,2026-05
DEL00186,ORD010326,Ahmedabad,WH-MUM,RID013,543.8,24.72,4,No,2038.56,Medium,Delivered,2026-07
DEL00187,ORD005675,Pune,WH-MUM,RID026,254.4,13.31,1,No,1246.84,High,Delivered,2026-02
DEL00188,ORD008727,Hyderabad,WH-KOL,RID022,540.0,22.88,0,Yes,2399.86,Medium,Delivered,2026-04
DEL00189,ORD006676,Hyderabad,WH-DEL,RID016,201.9,10.1,1,No,1005.27,Low,Delivered Late,2026-02
DEL00190,ORD011394,Hyderabad,WH-MUM,RID036,296.4,14.96,1,No,1241.21,Medium,Delivered,2026-02
DEL00191,ORD004324,Bengaluru,WH-KOL,RID032,8.4,0.5,0,Yes,44.2,High,Delivered,2026-04
DEL00192,ORD008412,Pune,WH-MUM,RID014,164.1,7.44,0,Yes,720.08,Low,Delivered,2026-02
DEL00193,ORD003055,Chennai,WH-BLR,RID039,1097.8,46.45,0,Yes,5131.15,High,Delivered,2026-05
DEL00194,ORD009913,Delhi,WH-KOL,RID020,12.0,4.0,0,Yes,53.48,Medium,Delivered Late,2026-04
DEL00195,ORD009449,Hyderabad,WH-MUM,RID029,797.3,31.44,0,Yes,2854.54,Medium,Delivered,2026-04
DEL00196,ORD009777,Chennai,WH-DEL,RID009,1825.2,72.0,0,Yes,6836.57,Medium,Delivered Late,2026-07
DEL00197,ORD007708,Bengaluru,WH-KOL,RID039,9.3,2.03,1,No,39.96,Low,Delivered,2026-02
DEL00198,ORD002228,Kolkata,WH-MUM,RID016,10.5,2.53,0,Yes,37.12,Low,Delivered,2026-02
DEL00199,ORD001345,Kolkata,WH-MUM,RID018,9.7,4.28,0,Yes,53.02,High,Delivered Late,2026-08
DEL00200,ORD008285,Delhi,WH-DEL,RID004,9.8,3.38,0,Yes,48.24,High,Delivered,2026-05
DEL00201,ORD003785,Chennai,WH-MUM,RID014,994.3,42.23,1,No,4896.78,Low,Delivered,2026-05
DEL00202,ORD004730,Delhi,WH-KOL,RID004,11.6,1.05,4,No,42.06,Medium,Delivered,2026-03
DEL00203,ORD005493,Kolkata,WH-BLR,RID008,13.2,2.53,2,No,65.79,Low,Delivered Late,2026-05
DEL00204,ORD005659,Delhi,WH-BLR,RID014,14.3,3.4,0,Yes,60.15,Low,Delivered Late,2026-05
DEL00205,ORD003791,Chennai,WH-BLR,RID029,904.8,37.07,4,No,4343.38,Medium,Delivered,2026-03
DEL00206,ORD005030,Hyderabad,WH-KOL,RID039,515.5,22.21,2,No,2354.33,Medium,Delivered,2026-04
DEL00207,ORD003337,Pune,WH-MUM,RID039,815.5,34.48,0,Yes,3496.51,Low,RTO,2026-06
DEL00208,ORD003044,Kolkata,WH-KOL,RID027,15.8,1.96,0,Yes,86.3,High,Delivered,2026-05
DEL00209,ORD005514,Ahmedabad,WH-BLR,RID015,680.1,29.92,4,No,3474.44,Medium,Delivered,2026-04
DEL00210,ORD006276,Bengaluru,WH-BLR,RID009,7.8,3.18,0,Yes,33.87,Medium,Delivered,2026-05
DEL00211,ORD005610,Ahmedabad,WH-BLR,RID014,818.8,33.92,2,No,4319.95,High,Delivered,2026-05
DEL00212,ORD007862,Hyderabad,WH-BLR,RID009,333.8,14.3,1,No,1419.43,Low,Delivered,2026-04
DEL00213,ORD003992,Hyderabad,WH-DEL,RID004,803.4,34.06,0,Yes,3048.86,Medium,Delivered,2026-04
DEL00214,ORD004456,Mumbai,WH-BLR,RID001,7.4,2.64,2,No,28.49,Medium,RTO,2026-03
DEL00215,ORD005232,Ahmedabad,WH-MUM,RID034,414.9,20.49,0,Yes,1865.13,Medium,Delivered,2026-03
DEL00216,ORD003783,Delhi,WH-MUM,RID008,4.8,2.21,4,No,19.02,High,Delivered,2026-02
DEL00217,ORD001332,Kolkata,WH-MUM,RID012,9.7,2.02,1,No,39.68,Medium,Delivered,2026-05
DEL00218,ORD003589,Bengaluru,WH-KOL,RID026,15.7,1.85,2,No,69.7,Low,Delivered,2026-06
DEL00219,ORD004740,Chennai,WH-MUM,RID002,2009.9,72.0,0,Yes,7311.94,Low,Delivered,2026-06
DEL00220,ORD005416,Pune,WH-MUM,RID019,708.5,30.07,0,Yes,3257.75,Low,Delivered,2026-06
DEL00221,ORD008808,Kolkata,WH-MUM,RID018,13.2,3.31,1,No,56.69,Medium,Delivered,2026-06
DEL00222,ORD007186,Delhi,WH-MUM,RID035,13.0,2.73,2,No,54.66,High,Delivered,2026-07
DEL00223,ORD007519,Kolkata,WH-MUM,RID020,10.4,2.32,1,No,40.01,Medium,Delivered,2026-05
DEL00224,ORD010717,Hyderabad,WH-KOL,RID005,348.1,14.99,0,Yes,1872.58,Medium,Delivered,2026-07
DEL00225,ORD006842,Kolkata,WH-DEL,RID032,10.1,2.84,0,Yes,36.65,High,Delivered,2026-03
DEL00226,ORD002128,Delhi,WH-MUM,RID014,7.9,2.16,0,Yes,39.93,Low,Delivered,2026-07
DEL00227,ORD006982,Pune,WH-BLR,RID029,615.3,27.3,0,Yes,3093.67,Medium,Delivered,2026-02
DEL00228,ORD008957,Ahmedabad,WH-DEL,RID021,269.8,11.36,1,No,1354.96,Low,Delivered,2026-07
DEL00229,ORD010424,Delhi,WH-BLR,RID034,14.3,2.88,2,No,60.42,Low,Delivered,2026-06
DEL00230,ORD007377,Kolkata,WH-KOL,RID029,10.7,3.19,0,Yes,54.48,Medium,Delivered,2026-02
