Exception_ID,Order_ID,Exception_Type,Exception_Date,Owner,Status,Action_Taken
EXC0049,ORD000973,Late Dispatch,2026-07-24,Seller Mgmt,Resolved,Pending Investigation
EXC0050,ORD004408,Inventory Mismatch,2026-07-26,Finance,Open,Pending Investigation
EXC0051,ORD009930,Late Dispatch,2026-06-26,Seller Mgmt,Resolved,Reshipped
EXC0052,ORD006385,Delayed Shipment,2026-05-20,Customer Support,Resolved,Address Updated
EXC0053,ORD011328,Delayed Shipment,2026-02-12,FC Ops,In Progress,Reshipped
EXC0054,ORD000211,Payment Failure,2026-03-26,FC Ops,In Progress,Escalated to Hub
EXC0055,ORD002173,Cancelled Order,2026-04-03,Finance,Open,Pending Investigation
EXC0056,ORD010764,Cancelled Order,2026-04-23,Customer Support,Resolved,Customer Contacted
EXC0057,ORD002139,Inventory Mismatch,2026-04-02,FC Ops,Resolved,Seller Notified
EXC0058,ORD003053,Late Dispatch,2026-07-07,Customer Support,In Progress,Reshipped
EXC0059,ORD008895,Delayed Shipment,2026-07-10,Logistics,Resolved,Refund Issued
EXC0060,ORD011466,Delayed Shipment,2026-02-05,Customer Support,Resolved,Seller Notified
EXC0061,ORD007222,Late Dispatch,2026-07-06,Seller Mgmt,Resolved,Escalated to Hub
EXC0062,ORD002035,Late Dispatch,2026-04-25,FC Ops,Resolved,Reshipped
EXC0063,ORD010027,Inventory Mismatch,2026-05-26,Customer Support,Resolved,Seller Notified
EXC0064,ORD005932,Delayed Shipment,2026-03-04,Customer Support,Resolved,Reshipped
EXC0065,ORD004760,Inventory Mismatch,2026-05-26,Finance,Open,Pending Investigation
EXC0066,ORD003676,Delayed Shipment,2026-07-21,FC Ops,Resolved,Address Updated
EXC0067,ORD009871,Cancelled Order,2026-07-05,Seller Mgmt,In Progress,Escalated to Hub
EXC0068,ORD007047,Lost Shipment,2026-06-01,Seller Mgmt,In Progress,Pending Investigation
EXC0069,ORD005508,Inventory Mismatch,2026-07-04,FC Ops,Open,Pending Investigation
EXC0070,ORD011500,Address Issue,2026-03-14,Logistics,Resolved,Customer Contacted
EXC0071,ORD005815,Inventory Mismatch,2026-06-02,Customer Support,Resolved,Stock Corrected
EXC0072,ORD011202,Address Issue,2026-05-02,Logistics,Open,Pending Investigation
EXC0073,ORD006450,Cancelled Order,2026-03-27,Customer Support,In Progress,Customer Contacted
EXC0074,ORD000977,Address Issue,2026-07-12,Logistics,Open,Pending Investigation
EXC0075,ORD003228,Address Issue,2026-05-29,Seller Mgmt,Resolved,Customer Contacted
EXC0076,ORD010455,Delayed Shipment,2026-03-05,Finance,Resolved,Seller Notified
EXC0077,ORD009314,Cancelled Order,2026-07-07,Logistics,Resolved,Escalated to Hub
EXC0078,ORD011522,Delayed Shipment,2026-04-10,Logistics,Resolved,Reshipped
EXC0079,ORD009885,Late Dispatch,2026-02-15,Customer Support,Resolved,Stock Corrected
EXC0080,ORD001564,Wrong Item,2026-07-01,Customer Support,Resolved,Seller Notified
EXC0081,ORD003563,Address Issue,2026-07-06,FC Ops,Resolved,Stock Corrected
EXC0082,ORD003414,Inventory Mismatch,2026-05-29,Customer Support,Resolved,Pending Investigation
EXC0083,ORD009747,Payment Failure,2026-03-01,Logistics,In Progress,Address Updated
EXC0084,ORD009014,Delayed Shipment,2026-06-02,Finance,In Progress,Escalated to Hub
EXC0085,ORD005203,Lost Shipment,2026-06-21,FC Ops,Resolved,Seller Notified
EXC0086,ORD007950,Cancelled Order,2026-02-28,Seller Mgmt,In Progress,Customer Contacted
EXC0087,ORD004542,Late Dispatch,2026-05-21,Finance,In Progress,Refund Issued
EXC0088,ORD006451,Address Issue,2026-03-11,Finance,Resolved,Seller Notified
EXC0089,ORD004078,Inventory Mismatch,2026-06-12,FC Ops,Resolved,Refund Issued
EXC0090,ORD005703,Payment Failure,2026-05-07,Customer Support,Resolved,Customer Contacted
EXC0091,ORD006056,Address Issue,2026-04-16,FC Ops,Open,Pending Investigation
EXC0092,ORD000376,Inventory Mismatch,2026-03-05,Seller Mgmt,Resolved,Address Updated
EXC0093,ORD000849,Address Issue,2026-04-23,Customer Support,Resolved,Escalated to Hub
EXC0094,ORD005557,Delayed Shipment,2026-02-19,Logistics,Resolved,Reshipped
EXC0095,ORD006194,Late Dispatch,2026-07-13,Seller Mgmt,In Progress,Seller Notified
EXC0096,ORD004743,Delayed Shipment,2026-03-04,Customer Support,In Progress,Customer Contacted
EXC0097,ORD010096,Payment Failure,2026-02-17,Finance,Resolved,Seller Notified
EXC0098,ORD008837,Late Dispatch,2026-06-21,FC Ops,Resolved,Pending Investigation
EXC0099,ORD000451,Address Issue,2026-06-17,Finance,Resolved,Address Updated
EXC0100,ORD011275,Address Issue,2026-04-06,Customer Support,Resolved,Pending Investigation
EXC0101,ORD002757,Inventory Mismatch,2026-03-31,Seller Mgmt,Resolved,Stock Corrected
EXC0102,ORD001338,Address Issue,2026-06-05,Logistics,Open,Pending Investigation
EXC0103,ORD011217,Cancelled Order,2026-02-25,Seller Mgmt,Resolved,Escalated to Hub
EXC0104,ORD003427,Delayed Shipment,2026-02-06,Seller Mgmt,Resolved,Stock Corrected
EXC0105,ORD011531,Cancelled Order,2026-04-23,Customer Support,Resolved,Seller Notified
EXC0106,ORD009446,Wrong Item,2026-05-15,Logistics,Resolved,Escalated to Hub
EXC0107,ORD008822,Delayed Shipment,2026-06-06,FC Ops,Resolved,Address Updated
EXC0108,ORD007489,Address Issue,2026-02-20,FC Ops,Resolved,Address Updated
EXC0109,ORD005397,Delayed Shipment,2026-07-12,Customer Support,Open,Pending Investigation
EXC0110,ORD010467,Inventory Mismatch,2026-06-07,FC Ops,Resolved,Customer Contacted
EXC0111,ORD003156,Delayed Shipment,2026-06-05,Customer Support,In Progress,Seller Notified
EXC0112,ORD009965,Payment Failure,2026-06-22,Customer Support,Resolved,Stock Corrected
EXC0113,ORD007852,Delayed Shipment,2026-02-22,Logistics,Resolved,Pending Investigation
EXC0114,ORD007661,Address Issue,2026-05-24,Seller Mgmt,Resolved,Reshipped
EXC0115,ORD000952,Cancelled Order,2026-05-11,Finance,Resolved,Refund Issued
EXC0116,ORD009969,Late Dispatch,2026-05-16,Finance,Open,Pending Investigation
EXC0117,ORD003853,Wrong Item,2026-07-26,Customer Support,In Progress,Reshipped
EXC0118,ORD001333,Inventory Mismatch,2026-03-15,Seller Mgmt,Resolved,Stock Corrected
EXC0119,ORD011186,Delayed Shipment,2026-03-08,Customer Support,Open,Pending Investigation
EXC0120,ORD002506,Inventory Mismatch,2026-03-25,Logistics,Open,Pending Investigation
EXC0121,ORD008614,Address Issue,2026-03-15,Customer Support,In Progress,Stock Corrected
EXC0122,ORD000285,Address Issue,2026-03-11,Seller Mgmt,Open,Pending Investigation
EXC0123,ORD007434,Cancelled Order,2026-02-02,Logistics,In Progress,Address Updated
EXC0124,ORD007268,Lost Shipment,2026-04-21,Finance,Open,Pending Investigation
EXC0125,ORD009938,Delayed Shipment,2026-04-22,Customer Support,Resolved,Reshipped
EXC0126,ORD008318,Late Dispatch,2026-04-05,Finance,Resolved,Address Updated
EXC0127,ORD007459,Late Dispatch,2026-05-20,FC Ops,In Progress,Address Updated
EXC0128,ORD008215,Cancelled Order,2026-02-11,Finance,Resolved,Pending Investigation
EXC0129,ORD000314,Delayed Shipment,2026-03-12,Seller Mgmt,Resolved,Escalated to Hub
EXC0130,ORD011355,Payment Failure,2026-07-01,Customer Support,Resolved,Refund Issued
EXC0131,ORD007040,Inventory Mismatch,2026-04-30,FC Ops,Resolved,Reshipped
EXC0132,ORD001162,Cancelled Order,2026-06-11,FC Ops,Resolved,Escalated to Hub
EXC0133,ORD000958,Lost Shipment,2026-06-27,FC Ops,Open,Pending Investigation
EXC0134,ORD007351,Cancelled Order,2026-07-23,Logistics,In Progress,Customer Contacted
EXC0135,ORD001650,Delayed Shipment,2026-06-18,Customer Support,In Progress,Reshipped
EXC0136,ORD000891,Late Dispatch,2026-05-17,Logistics,In Progress,Escalated to Hub
EXC0137,ORD002216,Delayed Shipment,2026-02-28,Finance,Resolved,Address Updated
EXC0138,ORD000053,Cancelled Order,2026-06-07,Logistics,Resolved,Stock Corrected
EXC0139,ORD005536,Cancelled Order,2026-06-18,Logistics,Resolved,Pending Investigation
EXC0140,ORD006433,Cancelled Order,2026-04-21,Finance,Resolved,Refund Issued
EXC0141,ORD001034,Cancelled Order,2026-05-02,Finance,Open,Pending Investigation
EXC0142,ORD010379,Delayed Shipment,2026-04-07,Logistics,Open,Pending Investigation
EXC0143,ORD010392,Wrong Item,2026-07-30,Finance,In Progress,Escalated to Hub
EXC0144,ORD006685,Cancelled Order,2026-06-04,Customer Support,Resolved,Stock Corrected
EXC0145,ORD008944,Delayed Shipment,2026-02-26,Logistics,Resolved,Reshipped
EXC0146,ORD008034,Wrong Item,2026-06-10,Logistics,Open,Pending Investigation
EXC0147,ORD009592,Delayed Shipment,2026-07-04,Logistics,Resolved,Escalated to Hub
EXC0148,ORD009120,Wrong Item,2026-03-29,FC Ops,In Progress,Seller Notified
EXC0149,ORD008143,Wrong Item,2026-03-05,Customer Support,Open,Pending Investigation
EXC0150,ORD008508,Cancelled Order,2026-03-18,FC Ops,Resolved,Stock Corrected
EXC0151,ORD004121,Payment Failure,2026-05-03,Customer Support,Resolved,Customer Contacted
EXC0152,ORD009145,Address Issue,2026-02-06,Finance,In Progress,Stock Corrected
EXC0153,ORD001175,Late Dispatch,2026-03-10,FC Ops,Open,Pending Investigation
EXC0154,ORD006250,Delayed Shipment,2026-03-16,Logistics,Resolved,Refund Issued
EXC0155,ORD010119,Cancelled Order,2026-06-28,Finance,Resolved,Customer Contacted
EXC0156,ORD006707,Inventory Mismatch,2026-07-13,Seller Mgmt,In Progress,Pending Investigation
EXC0157,ORD007660,Late Dispatch,2026-02-14,Customer Support,Resolved,Refund Issued
EXC0158,ORD000733,Inventory Mismatch,2026-04-26,FC Ops,Resolved,Reshipped
EXC0159,ORD009903,Late Dispatch,2026-05-02,Seller Mgmt,Resolved,Customer Contacted
EXC0160,ORD003058,Address Issue,2026-05-18,Customer Support,Resolved,Escalated to Hub
EXC0161,ORD005061,Late Dispatch,2026-07-09,Seller Mgmt,Resolved,Seller Notified
EXC0162,ORD000953,Wrong Item,2026-06-17,Seller Mgmt,Open,Pending Investigation
EXC0163,ORD002760,Wrong Item,2026-05-09,Customer Support,In Progress,Refund Issued
EXC0164,ORD010138,Cancelled Order,2026-03-05,Finance,Open,Pending Investigation
EXC0165,ORD002261,Cancelled Order,2026-07-12,Logistics,Resolved,Seller Notified
EXC0166,ORD002488,Address Issue,2026-04-05,Seller Mgmt,Resolved,Reshipped
EXC0167,ORD000610,Wrong Item,2026-05-12,Customer Support,Resolved,Reshipped
EXC0168,ORD003865,Address Issue,2026-06-18,FC Ops,Resolved,Pending Investigation
EXC0169,ORD000572,Wrong Item,2026-05-14,Logistics,Resolved,Reshipped
EXC0170,ORD005993,Address Issue,2026-03-26,Logistics,In Progress,Stock Corrected
EXC0171,ORD001962,Inventory Mismatch,2026-06-16,Seller Mgmt,Open,Pending Investigation
EXC0172,ORD011273,Payment Failure,2026-03-16,Finance,In Progress,Stock Corrected
EXC0173,ORD000692,Wrong Item,2026-04-26,Customer Support,In Progress,Pending Investigation
EXC0174,ORD000776,Delayed Shipment,2026-04-13,FC Ops,Open,Pending Investigation
EXC0175,ORD008298,Cancelled Order,2026-06-11,Seller Mgmt,Resolved,Stock Corrected
EXC0176,ORD010384,Wrong Item,2026-07-27,FC Ops,In Progress,Escalated to Hub
EXC0177,ORD010201,Inventory Mismatch,2026-04-22,Logistics,Resolved,Address Updated
EXC0178,ORD003757,Delayed Shipment,2026-07-24,FC Ops,In Progress,Seller Notified
EXC0179,ORD009793,Lost Shipment,2026-04-14,Seller Mgmt,Open,Pending Investigation
EXC0180,ORD004597,Address Issue,2026-05-15,Finance,Resolved,Seller Notified
EXC0181,ORD006127,Wrong Item,2026-07-14,Customer Support,Resolved,Escalated to Hub
EXC0182,ORD005943,Inventory Mismatch,2026-05-16,FC Ops,Resolved,Address Updated
EXC0183,ORD005991,Late Dispatch,2026-06-25,FC Ops,Open,Pending Investigation
EXC0184,ORD008671,Wrong Item,2026-06-22,Seller Mgmt,Open,Pending Investigation
EXC0185,ORD008730,Wrong Item,2026-05-04,FC Ops,Resolved,Customer Contacted
EXC0186,ORD010302,Inventory Mismatch,2026-06-09,FC Ops,Open,Pending Investigation
EXC0187,ORD003421,Payment Failure,2026-02-10,Customer Support,Resolved,Pending Investigation
EXC0188,ORD006709,Cancelled Order,2026-07-18,Logistics,Resolved,Pending Investigation
EXC0189,ORD005929,Cancelled Order,2026-02-20,Seller Mgmt,Resolved,Reshipped
EXC0190,ORD005103,Cancelled Order,2026-06-15,Finance,Resolved,Seller Notified
EXC0191,ORD008453,Cancelled Order,2026-04-08,Logistics,Resolved,Seller Notified
EXC0192,ORD010669,Inventory Mismatch,2026-05-17,Seller Mgmt,Open,Pending Investigation
EXC0193,ORD007783,Delayed Shipment,2026-02-10,FC Ops,In Progress,Reshipped
EXC0194,ORD007869,Inventory Mismatch,2026-06-05,FC Ops,Resolved,Customer Contacted
EXC0195,ORD006135,Cancelled Order,2026-07-03,Finance,Resolved,Refund Issued
EXC0196,ORD009387,Address Issue,2026-07-15,Customer Support,Resolved,Seller Notified
EXC0197,ORD004294,Late Dispatch,2026-04-11,Seller Mgmt,In Progress,Seller Notified
EXC0198,ORD010697,Late Dispatch,2026-05-14,Seller Mgmt,Resolved,Refund Issued
EXC0199,ORD000244,Delayed Shipment,2026-02-23,Finance,Open,Pending Investigation
EXC0200,ORD002445,Late Dispatch,2026-03-31,Customer Support,Resolved,Reshipped
EXC0201,ORD003218,Delayed Shipment,2026-06-22,Logistics,Resolved,Refund Issued
EXC0202,ORD004737,Late Dispatch,2026-07-29,Seller Mgmt,In Progress,Seller Notified
EXC0203,ORD004209,Wrong Item,2026-03-27,Customer Support,Open,Pending Investigation
EXC0204,ORD009448,Payment Failure,2026-07-21,Finance,Resolved,Reshipped
EXC0205,ORD006753,Address Issue,2026-04-28,Logistics,Resolved,Refund Issued
EXC0206,ORD010517,Delayed Shipment,2026-07-30,Finance,In Progress,Customer Contacted
EXC0207,ORD002013,Delayed Shipment,2026-02-16,Customer Support,Resolved,Reshipped
EXC0208,ORD002335,Payment Failure,2026-07-10,Logistics,Resolved,Seller Notified
EXC0209,ORD010561,Inventory Mismatch,2026-07-19,FC Ops,Open,Pending Investigation
EXC0210,ORD010948,Cancelled Order,2026-07-20,Finance,In Progress,Escalated to Hub
EXC0211,ORD007547,Delayed Shipment,2026-06-17,FC Ops,Resolved,Pending Investigation
EXC0212,ORD009081,Lost Shipment,2026-06-06,Seller Mgmt,In Progress,Seller Notified
EXC0213,ORD005453,Cancelled Order,2026-05-20,FC Ops,Resolved,Stock Corrected
EXC0214,ORD010133,Address Issue,2026-04-11,Logistics,In Progress,Pending Investigation
EXC0215,ORD008753,Delayed Shipment,2026-07-16,Logistics,Open,Pending Investigation
EXC0216,ORD006903,Delayed Shipment,2026-07-03,Customer Support,Resolved,Seller Notified
EXC0217,ORD005983,Wrong Item,2026-04-03,Customer Support,Resolved,Pending Investigation
EXC0218,ORD001661,Delayed Shipment,2026-02-12,Logistics,Open,Pending Investigation
EXC0219,ORD006858,Wrong Item,2026-05-11,Finance,Open,Pending Investigation
EXC0220,ORD009951,Inventory Mismatch,2026-06-06,Customer Support,In Progress,Address Updated
EXC0221,ORD003276,Delayed Shipment,2026-03-30,Logistics,Resolved,Seller Notified
EXC0222,ORD006553,Payment Failure,2026-03-06,Logistics,Resolved,Reshipped
EXC0223,ORD006183,Address Issue,2026-07-02,Seller Mgmt,In Progress,Reshipped
EXC0224,ORD001192,Cancelled Order,2026-05-09,Seller Mgmt,Open,Pending Investigation
EXC0225,ORD008016,Lost Shipment,2026-07-08,Finance,Open,Pending Investigation
EXC0226,ORD010339,Cancelled Order,2026-02-21,Customer Support,Resolved,Address Updated
EXC0227,ORD009696,Cancelled Order,2026-04-22,FC Ops,In Progress,Customer Contacted
EXC0228,ORD005093,Delayed Shipment,2026-03-27,FC Ops,In Progress,Address Updated
EXC0229,ORD000850,Cancelled Order,2026-02-01,Customer Support,Resolved,Address Updated
EXC0230,ORD004458,Delayed Shipment,2026-04-17,Finance,Open,Pending Investigation
EXC0231,ORD004929,Payment Failure,2026-02-12,Customer Support,Resolved,Pending Investigation
EXC0232,ORD003126,Late Dispatch,2026-06-19,FC Ops,Resolved,Refund Issued
EXC0233,ORD010125,Lost Shipment,2026-04-05,Customer Support,Resolved,Reshipped
EXC0234,ORD005967,Payment Failure,2026-03-22,Finance,Resolved,Refund Issued
EXC0235,ORD003679,Lost Shipment,2026-05-05,Seller Mgmt,Resolved,Address Updated
EXC0236,ORD008602,Lost Shipment,2026-02-26,FC Ops,In Progress,Customer Contacted
EXC0237,ORD009035,Address Issue,2026-06-12,Logistics,Resolved,Reshipped
EXC0238,ORD000393,Late Dispatch,2026-03-23,Customer Support,Open,Pending Investigation
EXC0239,ORD009432,Late Dispatch,2026-04-07,FC Ops,Resolved,Seller Notified
EXC0240,ORD008948,Cancelled Order,2026-07-06,Customer Support,Resolved,Seller Notified
EXC0241,ORD002310,Payment Failure,2026-07-23,Seller Mgmt,Resolved,Seller Notified
EXC0242,ORD007070,Payment Failure,2026-07-28,Seller Mgmt,Resolved,Pending Investigation
EXC0243,ORD004390,Delayed Shipment,2026-05-27,Seller Mgmt,Resolved,Stock Corrected
EXC0244,ORD002297,Lost Shipment,2026-04-04,Customer Support,Resolved,Address Updated
EXC0245,ORD009666,Cancelled Order,2026-02-23,FC Ops,In Progress,Stock Corrected
EXC0246,ORD004834,Inventory Mismatch,2026-04-06,FC Ops,Resolved,Escalated to Hub
EXC0247,ORD008883,Cancelled Order,2026-04-24,Finance,Resolved,Pending Investigation
EXC0248,ORD003515,Late Dispatch,2026-04-21,Finance,In Progress,Seller Notified
EXC0249,ORD008067,Cancelled Order,2026-03-30,Seller Mgmt,Open,Pending Investigation
EXC0250,ORD005926,Lost Shipment,2026-06-14,FC Ops,In Progress,Reshipped
EXC0251,ORD004138,Inventory Mismatch,2026-05-02,FC Ops,Resolved,Pending Investigation
EXC0252,ORD004456,Wrong Item,2026-03-17,Customer Support,Resolved,Reshipped
EXC0253,ORD007847,Delayed Shipment,2026-08-01,FC Ops,Resolved,Refund Issued
EXC0254,ORD009091,Delayed Shipment,2026-03-26,Finance,In Progress,Refund Issued
EXC0255,ORD001020,Wrong Item,2026-04-17,Finance,In Progress,Reshipped
EXC0256,ORD003029,Wrong Item,2026-03-28,Seller Mgmt,In Progress,Seller Notified
EXC0257,ORD009918,Wrong Item,2026-06-04,Logistics,Open,Pending Investigation
EXC0258,ORD002572,Wrong Item,2026-06-01,Logistics,Open,Pending Investigation
EXC0259,ORD006111,Cancelled Order,2026-05-19,Finance,Resolved,Stock Corrected
EXC0260,ORD003158,Address Issue,2026-02-10,Seller Mgmt,In Progress,Address Updated
EXC0261,ORD011494,Address Issue,2026-03-18,Finance,Resolved,Pending Investigation
EXC0262,ORD006285,Delayed Shipment,2026-06-20,Customer Support,Resolved,Pending Investigation
EXC0263,ORD003482,Payment Failure,2026-04-13,Customer Support,Resolved,Seller Notified
EXC0264,ORD007020,Delayed Shipment,2026-04-03,FC Ops,Open,Pending Investigation
EXC0265,ORD010011,Inventory Mismatch,2026-02-24,FC Ops,Open,Pending Investigation
EXC0266,ORD000249,Cancelled Order,2026-02-16,Seller Mgmt,Open,Pending Investigation
EXC0267,ORD001003,Delayed Shipment,2026-06-14,Logistics,Open,Pending Investigation
EXC0268,ORD008712,Delayed Shipment,2026-03-26,Customer Support,Resolved,Address Updated
EXC0269,ORD007152,Inventory Mismatch,2026-03-19,Logistics,Resolved,Refund Issued
EXC0270,ORD000095,Inventory Mismatch,2026-06-15,Customer Support,Resolved,Stock Corrected
EXC0271,ORD006637,Lost Shipment,2026-03-08,Finance,In Progress,Address Updated
EXC0272,ORD003341,Payment Failure,2026-06-13,Seller Mgmt,In Progress,Refund Issued
EXC0273,ORD002289,Wrong Item,2026-02-24,Seller Mgmt,Open,Pending Investigation
EXC0274,ORD000581,Cancelled Order,2026-02-15,Finance,In Progress,Address Updated
EXC0275,ORD011456,Late Dispatch,2026-02-27,Logistics,Resolved,Escalated to Hub
EXC0276,ORD005000,Cancelled Order,2026-06-23,FC Ops,Resolved,Pending Investigation
EXC0277,ORD001093,Payment Failure,2026-03-22,Finance,Resolved,Escalated to Hub
EXC0278,ORD008935,Wrong Item,2026-04-08,Seller Mgmt,In Progress,Address Updated
EXC0279,ORD004505,Cancelled Order,2026-03-07,FC Ops,Resolved,Pending Investigation
EXC0280,ORD008470,Delayed Shipment,2026-02-03,Customer Support,Open,Pending Investigation
EXC0281,ORD009707,Cancelled Order,2026-02-13,Customer Support,Open,Pending Investigation
EXC0282,ORD008812,Address Issue,2026-06-22,Seller Mgmt,Resolved,Stock Corrected
EXC0283,ORD007357,Address Issue,2026-07-31,Seller Mgmt,Resolved,Seller Notified
EXC0284,ORD000509,Address Issue,2026-07-22,FC Ops,Resolved,Escalated to Hub
EXC0285,ORD005950,Payment Failure,2026-04-11,Customer Support,Resolved,Seller Notified
EXC0286,ORD000280,Cancelled Order,2026-05-23,Customer Support,Resolved,Refund Issued
EXC0287,ORD007175,Late Dispatch,2026-02-28,Finance,Resolved,Refund Issued
EXC0288,ORD009608,Late Dispatch,2026-03-02,Seller Mgmt,Open,Pending Investigation
EXC0289,ORD006066,Cancelled Order,2026-05-05,Seller Mgmt,In Progress,Customer Contacted
EXC0290,ORD009227,Cancelled Order,2026-07-25,Logistics,Resolved,Refund Issued
EXC0291,ORD004091,Lost Shipment,2026-03-24,Customer Support,In Progress,Refund Issued
EXC0292,ORD003592,Address Issue,2026-05-13,Logistics,Open,Pending Investigation
EXC0293,ORD007695,Delayed Shipment,2026-04-18,FC Ops,Resolved,Pending Investigation
EXC0294,ORD005643,Cancelled Order,2026-07-07,Seller Mgmt,Open,Pending Investigation
EXC0295,ORD011017,Delayed Shipment,2026-07-19,FC Ops,Open,Pending Investigation
EXC0296,ORD006746,Inventory Mismatch,2026-04-20,Customer Support,In Progress,Stock Corrected
EXC0297,ORD005601,Late Dispatch,2026-07-21,Seller Mgmt,Resolved,Refund Issued
EXC0298,ORD005470,Wrong Item,2026-04-07,Finance,Open,Pending Investigation
EXC0299,ORD007324,Wrong Item,2026-07-04,Customer Support,Resolved,Reshipped
EXC0300,ORD004672,Delayed Shipment,2026-03-11,Customer Support,Resolved,Stock Corrected
EXC0301,ORD008327,Delayed Shipment,2026-06-20,Logistics,Resolved,Reshipped
EXC0302,ORD009832,Delayed Shipment,2026-02-18,Finance,Resolved,Reshipped
EXC0303,ORD010830,Late Dispatch,2026-07-29,Seller Mgmt,In Progress,Seller Notified
EXC0304,ORD009044,Delayed Shipment,2026-05-05,Seller Mgmt,In Progress,Address Updated
EXC0305,ORD010319,Late Dispatch,2026-04-18,Customer Support,Open,Pending Investigation
EXC0306,ORD004205,Cancelled Order,2026-07-01,FC Ops,Resolved,Reshipped
EXC0307,ORD004126,Delayed Shipment,2026-07-21,Customer Support,Resolved,Seller Notified
EXC0308,ORD003782,Delayed Shipment,2026-03-28,FC Ops,Resolved,Refund Issued
EXC0309,ORD005655,Cancelled Order,2026-06-20,Customer Support,In Progress,Reshipped
