Seller_ID,Seller_Name,Seller_Category,Seller_City,Fulfillment_Type,Seller_Rating,Monthly_Order_Target,Warehouse_Assigned,Onboarded_On
SEL0023,Metro Emporium,Books,Chennai,Flipkart Fulfilled,3.6,725,WH-BLR,2025-10-22
SEL0024,Prime Commerce,Sports,Ahmedabad,Flipkart Fulfilled,3.46,891,WH-MUM,2022-12-06
SEL0025,Star Retail,Grocery,Ahmedabad,Flipkart Fulfilled,3.78,592,WH-MUM,2024-05-05
SEL0026,Royal Mart,Electronics,Mumbai,Seller Fulfilled,4.28,144,WH-KOL,2023-03-02
SEL0027,Sunrise Emporium,Beauty,Mumbai,Marketplace Managed,4.31,462,WH-MUM,2022-05-24
SEL0028,Elite Commerce,Electronics,Delhi,Seller Fulfilled,4.21,414,WH-DEL,2023-07-08
SEL0029,Unity Retail,Electronics,Mumbai,Flipkart Fulfilled,3.53,761,WH-MUM,2023-04-11
SEL0030,Value Mart,Home,Chennai,Flipkart Fulfilled,3.18,365,WH-BLR,2024-12-02
SEL0031,Zenith Emporium,Grocery,Chennai,Seller Fulfilled,4.12,309,WH-KOL,2024-12-26
SEL0032,Apex Commerce,Books,Bengaluru,Seller Fulfilled,3.91,90,WH-DEL,2024-04-15
SEL0033,Shree Retail,Fashion,Bengaluru,Flipkart Fulfilled,4.28,755,WH-BLR,2022-07-24
SEL0034,Om Mart,Fashion,Pune,Flipkart Fulfilled,4.38,684,WH-MUM,2023-11-10
SEL0035,Sai Emporium,Beauty,Hyderabad,Seller Fulfilled,4.16,56,WH-MUM,2024-07-20
SEL0036,Krishna Commerce,Electronics,Pune,Flipkart Fulfilled,4.4,401,WH-MUM,2022-11-07
SEL0037,Global Retail,Electronics,Ahmedabad,Seller Fulfilled,4.19,442,WH-KOL,2022-07-24
SEL0038,National Mart,Beauty,Bengaluru,Flipkart Fulfilled,4.31,433,WH-BLR,2022-05-14
SEL0039,Metro Emporium,Fashion,Mumbai,Flipkart Fulfilled,3.82,828,WH-MUM,2024-09-29
SEL0040,Prime Commerce,Home,Ahmedabad,Marketplace Managed,4.03,152,WH-MUM,2023-02-16
SEL0041,Star Retail,Beauty,Kolkata,Flipkart Fulfilled,4.18,289,WH-KOL,2023-08-06
SEL0042,Royal Mart,Sports,Bengaluru,Flipkart Fulfilled,4.43,179,WH-BLR,2024-02-26
SEL0043,Sunrise Emporium,Grocery,Chennai,Flipkart Fulfilled,3.94,234,WH-BLR,2024-05-11
SEL0044,Elite Commerce,Fashion,Chennai,Flipkart Fulfilled,4.31,818,WH-BLR,2025-06-22
SEL0045,Unity Retail,Sports,Ahmedabad,Flipkart Fulfilled,3.99,847,WH-MUM,2024-11-03
SEL0046,Value Mart,Grocery,Bengaluru,Flipkart Fulfilled,4.05,59,WH-BLR,2023-10-04
SEL0047,Zenith Emporium,Fashion,Ahmedabad,Flipkart Fulfilled,4.43,576,WH-MUM,2022-06-06
SEL0048,Apex Commerce,Fashion,Ahmedabad,Flipkart Fulfilled,3.3,224,WH-MUM,2022-07-05
SEL0049,Shree Retail,Home,Mumbai,Seller Fulfilled,3.58,189,WH-BLR,2025-03-08
SEL0050,Om Mart,Electronics,Mumbai,Seller Fulfilled,3.51,277,WH-KOL,2023-03-31
SEL0051,Sai Emporium,Electronics,Chennai,Flipkart Fulfilled,3.17,191,WH-BLR,2025-08-03
SEL0052,Krishna Commerce,Electronics,Delhi,Flipkart Fulfilled,3.83,451,WH-DEL,2023-04-06
SEL0053,Global Retail,Grocery,Bengaluru,Seller Fulfilled,4.4,896,WH-BLR,2024-07-29
SEL0054,National Mart,Home,Hyderabad,Marketplace Managed,3.99,536,WH-BLR,2024-02-25
SEL0055,Metro Emporium,Grocery,Ahmedabad,Marketplace Managed,4.18,656,WH-MUM,2023-02-04
SEL0056,Prime Commerce,Grocery,Ahmedabad,Flipkart Fulfilled,4.54,454,WH-MUM,2024-04-01
SEL0057,Star Retail,Beauty,Mumbai,Flipkart Fulfilled,4.63,32,WH-MUM,2022-09-28
SEL0058,Royal Mart,Home,Ahmedabad,Flipkart Fulfilled,4.07,94,WH-MUM,2023-10-27
SEL0059,Sunrise Emporium,Electronics,Delhi,Flipkart Fulfilled,4.64,256,WH-DEL,2021-12-26
SEL0060,Elite Commerce,Electronics,Kolkata,Seller Fulfilled,4.14,234,WH-BLR,2023-05-29
SEL0061,Unity Retail,Home,Pune,Flipkart Fulfilled,3.77,759,WH-MUM,2024-10-03
SEL0062,Value Mart,Beauty,Ahmedabad,Flipkart Fulfilled,3.86,762,WH-MUM,2022-11-13
SEL0063,Zenith Emporium,Home,Mumbai,Flipkart Fulfilled,3.51,771,WH-MUM,2024-04-25
SEL0064,Apex Commerce,Grocery,Ahmedabad,Seller Fulfilled,3.74,581,WH-MUM,2023-10-26
SEL0065,Shree Retail,Home,Delhi,Flipkart Fulfilled,3.96,509,WH-DEL,2025-05-20
SEL0066,Om Mart,Home,Chennai,Seller Fulfilled,4.42,591,WH-DEL,2025-06-15
SEL0067,Sai Emporium,Home,Hyderabad,Flipkart Fulfilled,4.79,377,WH-BLR,2023-08-29
SEL0068,Krishna Commerce,Fashion,Bengaluru,Marketplace Managed,3.55,609,WH-BLR,2025-03-10
SEL0069,Global Retail,Electronics,Delhi,Flipkart Fulfilled,4.26,719,WH-DEL,2021-12-28
SEL0070,National Mart,Beauty,Pune,Seller Fulfilled,3.68,691,WH-DEL,2022-07-20
SEL0071,Metro Emporium,Electronics,Bengaluru,Marketplace Managed,4.29,560,WH-BLR,2023-02-28
SEL0072,Prime Commerce,Fashion,Kolkata,Marketplace Managed,4.05,71,WH-KOL,2023-01-11
SEL0073,Star Retail,Sports,Hyderabad,Seller Fulfilled,3.37,657,WH-MUM,2023-07-30
SEL0074,Royal Mart,Fashion,Bengaluru,Seller Fulfilled,4.47,342,WH-DEL,2025-09-08
SEL0075,Sunrise Emporium,Electronics,Ahmedabad,Seller Fulfilled,3.86,674,WH-BLR,2024-05-17
SEL0076,Elite Commerce,Fashion,Delhi,Seller Fulfilled,3.89,494,WH-KOL,2023-12-21
SEL0077,Unity Retail,Fashion,Kolkata,Flipkart Fulfilled,3.67,795,WH-KOL,2022-04-25
SEL0078,Value Mart,Home,Kolkata,Seller Fulfilled,3.84,317,WH-KOL,2025-01-21
SEL0079,Zenith Emporium,Home,Hyderabad,Seller Fulfilled,4.27,839,WH-MUM,2023-12-19
SEL0080,Apex Commerce,Grocery,Bengaluru,Marketplace Managed,4.02,763,WH-BLR,2024-07-26
SEL0081,Shree Retail,Home,Delhi,Seller Fulfilled,4.23,311,WH-KOL,2025-05-24
SEL0082,Om Mart,Fashion,Ahmedabad,Flipkart Fulfilled,4.24,444,WH-MUM,2025-07-08
SEL0083,Sai Emporium,Grocery,Ahmedabad,Seller Fulfilled,4.63,487,WH-KOL,2024-06-25
SEL0084,Krishna Commerce,Electronics,Mumbai,Flipkart Fulfilled,3.96,696,WH-MUM,2025-08-07
SEL0085,Global Retail,Electronics,Delhi,Flipkart Fulfilled,3.51,626,WH-DEL,2025-08-29
SEL0086,National Mart,Electronics,Delhi,Seller Fulfilled,4.53,769,WH-KOL,2024-07-16
SEL0087,Metro Emporium,Grocery,Delhi,Flipkart Fulfilled,3.97,345,WH-DEL,2025-02-16
SEL0088,Prime Commerce,Beauty,Pune,Flipkart Fulfilled,4.55,464,WH-MUM,2023-09-27
SEL0089,Star Retail,Electronics,Ahmedabad,Flipkart Fulfilled,4.25,399,WH-MUM,2025-11-08
SEL0090,Royal Mart,Beauty,Mumbai,Flipkart Fulfilled,4.05,820,WH-MUM,2024-09-25
SEL0091,Sunrise Emporium,Electronics,Kolkata,Flipkart Fulfilled,4.24,288,WH-KOL,2024-02-20
SEL0092,Elite Commerce,Home,Mumbai,Flipkart Fulfilled,4.88,536,WH-MUM,2022-02-16
SEL0093,Unity Retail,Beauty,Bengaluru,Seller Fulfilled,4.93,125,WH-MUM,2023-06-04
SEL0094,Value Mart,Fashion,Chennai,Flipkart Fulfilled,4.13,768,WH-BLR,2022-06-14
SEL0095,Zenith Emporium,Fashion,Kolkata,Marketplace Managed,4.16,358,WH-KOL,2024-07-27
SEL0096,Apex Commerce,Home,Pune,Marketplace Managed,4.53,319,WH-MUM,2024-02-25
SEL0097,Shree Retail,Fashion,Delhi,Seller Fulfilled,3.76,532,WH-MUM,2024-04-07
SEL0098,Om Mart,Electronics,Mumbai,Flipkart Fulfilled,4.23,458,WH-MUM,2022-06-05
SEL0099,Sai Emporium,Electronics,Bengaluru,Seller Fulfilled,4.09,766,WH-KOL,2022-02-21
SEL0100,Krishna Commerce,Books,Bengaluru,Seller Fulfilled,4.23,487,WH-DEL,2022-02-17
SEL0101,Global Retail,Sports,Ahmedabad,Seller Fulfilled,3.77,474,WH-MUM,2022-12-17
SEL0102,National Mart,Home,Pune,Seller Fulfilled,3.46,112,WH-DEL,2023-12-10
SEL0103,Metro Emporium,Fashion,Bengaluru,Seller Fulfilled,3.27,39,WH-KOL,2023-10-17
SEL0104,Prime Commerce,Books,Ahmedabad,Seller Fulfilled,3.65,370,WH-BLR,2022-01-22
SEL0105,Star Retail,Grocery,Hyderabad,Flipkart Fulfilled,3.92,898,WH-BLR,2024-10-20
SEL0106,Royal Mart,Grocery,Chennai,Seller Fulfilled,3.98,827,WH-DEL,2024-07-22
SEL0107,Sunrise Emporium,Beauty,Hyderabad,Flipkart Fulfilled,4.87,573,WH-BLR,2022-05-22
SEL0108,Elite Commerce,Fashion,Mumbai,Seller Fulfilled,4.54,575,WH-DEL,2024-05-26
SEL0109,Unity Retail,Electronics,Ahmedabad,Marketplace Managed,3.72,364,WH-MUM,2024-12-30
SEL0110,Value Mart,Sports,Delhi,Flipkart Fulfilled,4.24,176,WH-DEL,2023-09-18
SEL0111,Zenith Emporium,Beauty,Mumbai,Seller Fulfilled,3.94,27,WH-BLR,2024-08-22
SEL0112,Apex Commerce,Electronics,Mumbai,Flipkart Fulfilled,3.99,318,WH-MUM,2022-05-31
SEL0113,Shree Retail,Fashion,Bengaluru,Seller Fulfilled,4.17,298,WH-BLR,2022-05-04
SEL0114,Om Mart,Home,Mumbai,Flipkart Fulfilled,4.35,188,WH-MUM,2024-09-19
SEL0115,Sai Emporium,Electronics,Delhi,Marketplace Managed,3.96,248,WH-DEL,2023-11-02
SEL0116,Krishna Commerce,Sports,Kolkata,Flipkart Fulfilled,4.53,41,WH-KOL,2022-01-17
SEL0117,Global Retail,Grocery,Ahmedabad,Marketplace Managed,3.64,555,WH-MUM,2022-12-31
SEL0118,National Mart,Grocery,Delhi,Seller Fulfilled,4.1,836,WH-KOL,2025-01-27
SEL0119,Metro Emporium,Beauty,Bengaluru,Seller Fulfilled,5.0,627,WH-MUM,2023-08-06
SEL0120,Prime Commerce,Home,Chennai,Seller Fulfilled,4.19,414,WH-KOL,2023-06-25
SEL0121,Star Retail,Home,Ahmedabad,Seller Fulfilled,4.67,389,WH-MUM,2023-05-08
SEL0122,Royal Mart,Home,Kolkata,Marketplace Managed,4.14,290,WH-KOL,2025-10-28
SEL0123,Sunrise Emporium,Electronics,Pune,Flipkart Fulfilled,4.33,145,WH-MUM,2024-09-28
SEL0124,Elite Commerce,Fashion,Chennai,Seller Fulfilled,4.08,546,WH-KOL,2022-07-22
SEL0125,Unity Retail,Electronics,Hyderabad,Flipkart Fulfilled,4.03,518,WH-BLR,2024-12-21
SEL0126,Value Mart,Beauty,Mumbai,Seller Fulfilled,3.79,26,WH-DEL,2024-09-28
SEL0127,Zenith Emporium,Fashion,Pune,Flipkart Fulfilled,4.27,385,WH-MUM,2024-08-26
SEL0128,Apex Commerce,Electronics,Pune,Seller Fulfilled,3.76,264,WH-DEL,2025-03-23
SEL0129,Shree Retail,Electronics,Delhi,Seller Fulfilled,4.37,169,WH-DEL,2025-04-24
SEL0130,Om Mart,Home,Kolkata,Seller Fulfilled,4.53,638,WH-MUM,2024-07-22
SEL0131,Sai Emporium,Electronics,Delhi,Seller Fulfilled,4.25,482,WH-KOL,2022-06-23
SEL0132,Krishna Commerce,Books,Kolkata,Seller Fulfilled,3.99,577,WH-DEL,2025-12-01
SEL0133,Global Retail,Home,Pune,Seller Fulfilled,4.28,647,WH-MUM,2024-10-22
SEL0134,National Mart,Fashion,Mumbai,Seller Fulfilled,3.98,883,WH-DEL,2025-09-07
SEL0135,Metro Emporium,Home,Hyderabad,Seller Fulfilled,4.47,726,WH-KOL,2023-09-17
SEL0136,Prime Commerce,Electronics,Delhi,Marketplace Managed,3.37,565,WH-DEL,2024-12-08
SEL0137,Star Retail,Books,Chennai,Flipkart Fulfilled,3.97,793,WH-BLR,2022-10-20
SEL0138,Royal Mart,Beauty,Ahmedabad,Flipkart Fulfilled,3.3,440,WH-MUM,2023-08-14
SEL0139,Sunrise Emporium,Grocery,Delhi,Flipkart Fulfilled,3.5,886,WH-DEL,2022-11-01
SEL0140,Elite Commerce,Electronics,Hyderabad,Seller Fulfilled,4.65,690,WH-BLR,2023-06-03
SEL0141,Unity Retail,Beauty,Ahmedabad,Flipkart Fulfilled,4.46,592,WH-MUM,2024-03-12
SEL0142,Value Mart,Beauty,Bengaluru,Seller Fulfilled,3.81,814,WH-KOL,2022-07-13
SEL0143,Zenith Emporium,Books,Mumbai,Seller Fulfilled,3.5,473,WH-BLR,2024-01-18
SEL0144,Apex Commerce,Home,Hyderabad,Flipkart Fulfilled,2.91,654,WH-BLR,2022-03-07
SEL0145,Shree Retail,Beauty,Chennai,Marketplace Managed,3.88,270,WH-BLR,2022-01-01
SEL0146,Om Mart,Fashion,Kolkata,Seller Fulfilled,5.0,867,WH-BLR,2023-08-08
SEL0147,Sai Emporium,Fashion,Bengaluru,Flipkart Fulfilled,4.27,568,WH-BLR,2023-04-07
SEL0148,Krishna Commerce,Beauty,Ahmedabad,Flipkart Fulfilled,3.88,708,WH-MUM,2024-11-30
SEL0149,Global Retail,Beauty,Chennai,Flipkart Fulfilled,4.29,425,WH-BLR,2022-09-17
SEL0150,National Mart,Electronics,Bengaluru,Flipkart Fulfilled,3.48,782,WH-BLR,2023-04-11
